disease_id,disease_name
38121,Thyroid Disease
17713,Arthritis
29605,Stroke
18459,Epilepsy
65922,Diabetes
89625,Diabetes
88352,Hypertension
78606,Hepatitis
81396,Glaucoma
67921,Heart Disease
31003,Arthritis
16732,Arthritis
35956,COPD
80000,Arthritis
43053,COPD
84089,Heart Disease
44243,Arthritis
38770,Obesity
8285,Glaucoma
6891,Kidney Disease
78901,Epilepsy
2364,Obesity
20722,Kidney Disease
72093,Kidney Disease
6494,Thyroid Disease
49390,Diabetes
89544,Cancer
74035,Alzheimer
41643,Arthritis
88111,Hypertension
69503,Diabetes
85177,Cancer
59716,Asthma
69947,Alzheimer
57469,COPD
21646,Kidney Disease
97845,Diabetes
97372,Heart Disease
49354,Alzheimer
13593,Heart Disease
98304,Kidney Disease
62333,COPD
24874,Obesity
53052,COPD
26617,Asthma
33308,Glaucoma
62072,Glaucoma
38494,Obesity
51612,Hepatitis
15915,Alzheimer
51096,Heart Disease
20496,COPD
42879,Hypertension
27791,Heart Disease
35197,Epilepsy
50052,Hepatitis
74972,Arthritis
85500,Stroke
57208,Hypertension
92080,Hepatitis
56892,Hepatitis
27276,Kidney Disease
32710,COPD
92543,Epilepsy
63372,Epilepsy
45314,Diabetes
34760,Stroke
79293,Hypertension
72856,Stroke
11130,Epilepsy
6592,Hepatitis
15499,Asthma
79555,Glaucoma
40857,Stroke
84634,Hypertension
82793,Thyroid Disease
31632,Cancer
96003,Glaucoma
90369,Glaucoma
82039,Obesity
67367,Kidney Disease
68832,Diabetes
14438,Stroke
97993,Heart Disease
41076,COPD
14107,COPD
22828,Diabetes
50014,Diabetes
56063,Arthritis
41912,Glaucoma
63995,Heart Disease
64580,Alzheimer
15608,Thyroid Disease
29351,Alzheimer
92897,Epilepsy
34066,Asthma
43666,Stroke
91422,Alzheimer
7807,Diabetes
6562,Heart Disease
54093,Obesity
91108,Alzheimer
75998,Hypertension
78944,Hypertension
94952,Heart Disease
78856,Cancer
81762,Glaucoma
82040,Diabetes
83929,Diabetes
6322,COPD
13596,Obesity
64430,COPD
10623,Hepatitis
63636,Epilepsy
64803,Hypertension
99152,Hypertension
83309,COPD
364,Hypertension
45673,Hepatitis
14857,Cancer
31852,Kidney Disease
65797,Thyroid Disease
82384,Glaucoma
71977,Glaucoma
33676,Stroke
99630,Diabetes
4206,COPD
61384,Arthritis
7405,Epilepsy
21917,Obesity
95493,Thyroid Disease
68122,Heart Disease
13216,Cancer
54677,Diabetes
93974,Arthritis
73385,Alzheimer
88057,Epilepsy
68014,Hepatitis
75215,Glaucoma
15420,Diabetes
56968,COPD
35430,Hypertension
61925,Arthritis
53870,Diabetes
60728,Asthma
45890,Cancer
2360,Alzheimer
98768,Hypertension
90227,Heart Disease
6080,Asthma
37218,Epilepsy
85019,Epilepsy
67618,Hypertension
9435,Hypertension
35992,Hypertension
11587,Epilepsy
55304,Heart Disease
9223,COPD
68582,Asthma
96667,Cancer
98778,Stroke
94541,Diabetes
49457,Cancer
42344,Cancer
24114,Thyroid Disease
67981,Hypertension
98932,Cancer
70756,Thyroid Disease
59372,Stroke
88704,Heart Disease
23487,Hypertension
93625,Glaucoma
29877,COPD
35580,Hypertension
85626,Alzheimer
4774,Epilepsy
77843,Epilepsy
55422,Glaucoma
93928,COPD
47278,Obesity
45428,Hepatitis
73630,Heart Disease
86452,COPD
77170,Heart Disease
79195,Hypertension
17395,Obesity
35611,Diabetes
79910,Glaucoma
49462,Cancer
3595,Obesity
76246,Heart Disease
23342,Obesity
67199,Arthritis
18667,Alzheimer
9525,Thyroid Disease
14295,Obesity
62235,Glaucoma
22445,Asthma
19748,Heart Disease
45702,Kidney Disease
41913,Kidney Disease
72703,Cancer
28704,Glaucoma
734,Hepatitis
99171,Hypertension
28250,Hepatitis
52685,Arthritis
82466,Obesity
75760,Kidney Disease
90466,COPD
23854,Epilepsy
75951,Epilepsy
85852,Arthritis
24715,Hypertension
57777,COPD
84006,Arthritis
87584,Asthma
87509,Glaucoma
83527,Thyroid Disease
84673,Heart Disease
54387,Thyroid Disease
9706,Asthma
72987,Kidney Disease
27791,Heart Disease
52709,Hepatitis
17379,Hypertension
60208,Cancer
15250,COPD
66326,Stroke
51621,COPD
23448,Obesity
92522,Hypertension
91225,Glaucoma
90862,COPD
53974,Glaucoma
31167,Stroke
68304,Heart Disease
74691,Stroke
42255,Hypertension
52976,Arthritis
95774,Hepatitis
63154,Thyroid Disease
73098,Heart Disease
55457,Thyroid Disease
3890,Heart Disease
53721,Diabetes
56894,Hypertension
27472,Heart Disease
99178,Glaucoma
72895,Stroke
79999,Alzheimer
84205,Thyroid Disease
38738,Stroke
99717,Hypertension
64981,Kidney Disease
70022,Cancer
93427,Glaucoma
3325,Kidney Disease
10762,Alzheimer
13547,Asthma
46666,Hepatitis
97818,Hepatitis
10298,COPD
41442,Hypertension
8716,COPD
45643,Epilepsy
35971,Heart Disease
76153,Arthritis
89825,Asthma
72829,Heart Disease
13625,COPD
69003,Arthritis
12598,Diabetes
40229,Glaucoma
59377,Asthma
15726,Stroke
64899,Stroke
17236,Hypertension
62721,COPD
78466,Hypertension
16118,Cancer
96834,Thyroid Disease
64894,Heart Disease
99227,Stroke
3364,Alzheimer
37437,Obesity
52198,Stroke
76607,Cancer
27195,Thyroid Disease
79337,Hepatitis
14233,Asthma
88438,Thyroid Disease
18835,Arthritis
89152,Arthritis
52291,Stroke
58230,Stroke
69514,Cancer
58707,Thyroid Disease
403,Thyroid Disease
63300,Asthma
47270,Heart Disease
55516,Heart Disease
54186,Stroke
89663,Alzheimer
26624,Diabetes
39854,Hepatitis
24399,Epilepsy
36758,Heart Disease
71961,COPD
57295,Hypertension
47737,Heart Disease
89701,Cancer
41059,Asthma
21790,Stroke
36326,Alzheimer
24787,COPD
35788,COPD
73300,Arthritis
30384,Stroke
31554,Asthma
25733,Asthma
25652,Thyroid Disease
42972,Obesity
70545,Kidney Disease
22597,Heart Disease
99891,Kidney Disease
14042,Epilepsy
23789,Hypertension
4984,Asthma
68529,Glaucoma
72416,Stroke
37330,Hepatitis
99697,Heart Disease
46913,Alzheimer
66412,Heart Disease
9121,Hepatitis
48281,Stroke
22347,Thyroid Disease
17038,Hypertension
11866,Arthritis
37855,Obesity
23215,Arthritis
96994,Thyroid Disease
62638,Obesity
75039,Diabetes
95199,Hepatitis
35371,Arthritis
63167,Kidney Disease
1662,Stroke
95660,Thyroid Disease
65642,Arthritis
60056,Thyroid Disease
24157,Asthma
95076,Kidney Disease
65979,Kidney Disease
27332,Heart Disease
40817,Diabetes
22806,Hypertension
39631,Thyroid Disease
92727,Thyroid Disease
34230,Diabetes
15726,Cancer
44714,Cancer
46019,Alzheimer
40165,Hepatitis
86489,Kidney Disease
13191,Epilepsy
16123,Heart Disease
37246,Alzheimer
15221,Hepatitis
73955,Epilepsy
37859,Hypertension
6140,Hepatitis
91880,Stroke
51067,Alzheimer
19087,Thyroid Disease
89477,Thyroid Disease
47443,Diabetes
35398,Alzheimer
75951,Diabetes
74404,Cancer
65803,Heart Disease
96149,Hepatitis
22850,Cancer
40673,Hepatitis
37498,Asthma
77313,Arthritis
95529,Glaucoma
55886,Epilepsy
39104,Cancer
11003,Epilepsy
3790,Asthma
54144,Thyroid Disease
56414,Diabetes
94432,Stroke
80306,Epilepsy
73630,Obesity
72764,Heart Disease
42808,Alzheimer
12198,Epilepsy
22132,Alzheimer
29968,Thyroid Disease
37872,Diabetes
82384,Heart Disease
70545,COPD
26576,Diabetes
2289,Kidney Disease
89389,Cancer
61110,Hepatitis
78647,Kidney Disease
5109,Stroke
24944,Kidney Disease
3247,Stroke
2445,Hepatitis
52196,Heart Disease
84424,Diabetes
85062,Hypertension
99410,Stroke
72954,Cancer
89417,Epilepsy
66377,Hepatitis
45314,Thyroid Disease
72964,Hypertension
67608,Kidney Disease
67056,Stroke
68869,Asthma
91067,Epilepsy
4277,Kidney Disease
43038,Alzheimer
31356,Alzheimer
11006,Arthritis
55575,Diabetes
84307,Kidney Disease
55376,Asthma
80786,Thyroid Disease
16124,Arthritis
25652,COPD
99821,Epilepsy
57481,Thyroid Disease
40181,Glaucoma
31234,Kidney Disease
50397,Alzheimer
38879,Diabetes
54932,Kidney Disease
10341,Arthritis
54803,Diabetes
29589,Alzheimer
30673,Stroke
88164,Hepatitis
72040,Stroke
5509,Hepatitis
24114,Obesity
2072,Cancer
4967,Hypertension
82314,Hepatitis
44113,Cancer
93326,Hepatitis
33003,Obesity
540,Epilepsy
18702,Hypertension
65809,Hepatitis
35210,Glaucoma
2153,Alzheimer
17136,Alzheimer
49009,Stroke
68133,Heart Disease
37645,Cancer
38129,Cancer
27963,Alzheimer
78544,Alzheimer
66968,Asthma
40857,Arthritis
44051,Thyroid Disease
256,Kidney Disease
60455,Obesity
16580,Cancer
38654,Cancer
65191,Glaucoma
71849,Glaucoma
59730,Asthma
55919,Stroke
5716,Heart Disease
30841,Kidney Disease
8272,Asthma
58894,Diabetes
87255,Thyroid Disease
14492,COPD
21079,COPD
39590,Obesity
86943,Hypertension
26798,Asthma
38577,Diabetes
27679,Diabetes
52911,Alzheimer
58968,Diabetes
91852,Heart Disease
52309,Alzheimer
55785,Obesity
65607,Hypertension
61925,Kidney Disease
69990,COPD
72892,COPD
79293,Alzheimer
42649,Cancer
10074,Stroke
99744,Heart Disease
44509,Kidney Disease
36630,COPD
84109,Alzheimer
88287,Kidney Disease
40111,Diabetes
97598,COPD
80368,Arthritis
55559,Glaucoma
98250,Cancer
41658,COPD
99960,Thyroid Disease
10592,Hepatitis
32710,Epilepsy
99227,Stroke
20281,Stroke
43103,Asthma
79689,Obesity
29079,Obesity
94586,Kidney Disease
9565,Glaucoma
44714,COPD
63238,COPD
26568,Hepatitis
96801,Epilepsy
65923,Alzheimer
43739,Glaucoma
86836,COPD
26122,Glaucoma
22388,Arthritis
63714,Hypertension
31003,Glaucoma
4298,Obesity
10132,Cancer
38274,Alzheimer
4346,Arthritis
46822,Thyroid Disease
18603,Epilepsy
38136,Glaucoma
35832,Hepatitis
59725,Cancer
22777,Glaucoma
95439,Asthma
75569,Hepatitis
68607,Kidney Disease
23306,Alzheimer
13678,Cancer
95435,Diabetes
88895,COPD
92466,Asthma
15369,Obesity
99757,Heart Disease
63638,Arthritis
5961,Glaucoma
55301,Obesity
96667,Thyroid Disease
6562,Heart Disease
77182,COPD
91599,Epilepsy
20686,Diabetes
45724,Epilepsy
5862,Hepatitis
64216,Arthritis
63961,Kidney Disease
7149,Thyroid Disease
99746,Cancer
93923,Alzheimer
25562,Hepatitis
30087,Kidney Disease
8355,Diabetes
45653,Stroke
61919,Obesity
47216,Arthritis
64116,Hepatitis
30837,COPD
14113,Obesity
45157,Thyroid Disease
50336,Alzheimer
52596,Cancer
25448,Asthma
23928,Asthma
19273,Hepatitis
29215,Hepatitis
83203,Asthma
54883,Stroke
31200,Diabetes
24219,Asthma
1184,Hepatitis
11330,COPD
97551,Asthma
21741,Heart Disease
67853,Diabetes
82802,Arthritis
34948,Obesity
62002,Epilepsy
74012,Arthritis
45724,Obesity
12105,COPD
52037,Obesity
3463,Obesity
79169,Glaucoma
41047,Diabetes
98422,Hypertension
30658,Stroke
87102,Kidney Disease
75845,Epilepsy
25667,Epilepsy
6215,Heart Disease
96317,Hypertension
77342,Kidney Disease
35887,Stroke
51612,Cancer
92349,Asthma
17523,Diabetes
15002,Heart Disease
66334,Hypertension
12530,Stroke
68314,Alzheimer
64836,Kidney Disease
15824,Alzheimer
86505,Asthma
86847,Epilepsy
20668,Alzheimer
4018,Alzheimer
64790,Alzheimer
57711,COPD
75333,Obesity
61564,Stroke
20668,Stroke
65632,Hepatitis
64316,Asthma
17459,Thyroid Disease
17459,Diabetes
85202,Asthma
25270,Thyroid Disease
44606,Kidney Disease
39307,Asthma
17880,Arthritis
64894,Kidney Disease
68127,Hepatitis
52513,Alzheimer
8372,Thyroid Disease
17947,Cancer
50738,Arthritis
1587,Hepatitis
29895,Glaucoma
41136,Hypertension
88491,Epilepsy
26677,Asthma
72733,Hepatitis
17725,Diabetes
14339,COPD
1775,Heart Disease
60344,Hypertension
57234,Hepatitis
1377,COPD
69555,Cancer
74741,Thyroid Disease
99411,Kidney Disease
68415,Heart Disease
13474,Diabetes
29679,Hepatitis
70330,Alzheimer
89413,Cancer
56727,Glaucoma
6909,Thyroid Disease
78750,Diabetes
59795,Diabetes
16239,Arthritis
82934,Obesity
64412,Glaucoma
63543,Cancer
14518,Cancer
55690,Heart Disease
21950,Hepatitis
73441,Epilepsy
58314,Thyroid Disease
74646,Asthma
55301,Kidney Disease
78855,Glaucoma
48796,Alzheimer
50315,Asthma
99630,Cancer
43236,Thyroid Disease
212,Hypertension
33382,COPD
92489,Obesity
94103,Diabetes
70157,COPD
25044,COPD
97384,Obesity
19080,Hepatitis
52840,Cancer
36758,Asthma
65030,Diabetes
74605,Diabetes
39426,Obesity
36043,Heart Disease
95053,Kidney Disease
81871,Epilepsy
30673,Thyroid Disease
88482,Thyroid Disease
92677,Stroke
46428,Asthma
5958,Arthritis
41241,Diabetes
2337,Hypertension
72526,Cancer
59267,Obesity
93706,Heart Disease
27770,Glaucoma
7515,Thyroid Disease
18102,Obesity
95578,Kidney Disease
37119,Epilepsy
90667,Obesity
74870,Hypertension
72470,Arthritis
97241,Hypertension
78166,Kidney Disease
99099,Glaucoma
78404,Heart Disease
5834,Glaucoma
67867,Asthma
51903,Kidney Disease
26769,Obesity
55625,Obesity
23845,Arthritis
58085,Obesity
34671,Diabetes
98072,Obesity
84381,Epilepsy
39758,Asthma
8398,Epilepsy
10341,Glaucoma
30940,Asthma
68087,COPD
62971,Arthritis
77583,Asthma
73297,Arthritis
56009,Obesity
2848,Asthma
58230,Thyroid Disease
22825,Asthma
29079,Hepatitis
9877,Arthritis
25513,Heart Disease
95614,Asthma
15702,Thyroid Disease
21031,Hypertension
59551,Epilepsy
12520,Hypertension
57176,Arthritis
4848,Diabetes
83489,Arthritis
26305,Asthma
24580,Epilepsy
42183,COPD
57550,COPD
28510,Obesity
34191,Hypertension
42501,Epilepsy
23491,Asthma
47028,Hypertension
45036,Glaucoma
8825,Epilepsy
50269,Diabetes
83898,Asthma
67237,Stroke
91040,Cancer
37953,Cancer
76246,Arthritis
91810,Obesity
57980,Thyroid Disease
46878,Kidney Disease
99625,Heart Disease
85422,Epilepsy
16317,Hypertension
49527,Cancer
43076,Diabetes
22430,Alzheimer
63488,COPD
74770,Obesity
57554,Alzheimer
42650,Hypertension
37876,Arthritis
2251,Alzheimer
26494,Epilepsy
89825,Glaucoma
90577,Hepatitis
18286,COPD
95811,Obesity
58894,Hypertension
42695,Hepatitis
53780,Heart Disease
4828,Asthma
45116,Diabetes
35550,Diabetes
94103,Hepatitis
51851,Arthritis
23215,COPD
9164,Glaucoma
53031,Hepatitis
36451,Arthritis
65774,Arthritis
11428,Kidney Disease
97243,Hypertension
73614,Thyroid Disease
84492,Heart Disease
25984,Cancer
33738,Glaucoma
62721,Arthritis
19080,Cancer
90215,Asthma
6973,Thyroid Disease
4424,Glaucoma
34184,Thyroid Disease
96921,Kidney Disease
60981,Glaucoma
86250,COPD
10814,Obesity
95292,Asthma
114,Hepatitis
60455,Alzheimer
87514,Hepatitis
4449,Glaucoma
98418,Arthritis
27548,Diabetes
30263,Alzheimer
56000,Hepatitis
73997,Heart Disease
47312,Hypertension
9365,Thyroid Disease
2888,Diabetes
15862,Arthritis
92892,Hypertension
92949,Hypertension
59114,Cancer
32072,Heart Disease
75568,Stroke
75631,Asthma
24262,Asthma
78277,Asthma
27968,Glaucoma
23120,Diabetes
86217,Stroke
48163,Obesity
14857,Glaucoma
38084,Obesity
50957,COPD
14723,Diabetes
68666,Arthritis
41102,Hepatitis
17618,Cancer
46509,Cancer
55478,Hypertension
5576,Glaucoma
43456,Cancer
5356,Stroke
61462,Hepatitis
28513,Thyroid Disease
68768,Diabetes
7145,Heart Disease
37818,Asthma
64469,Thyroid Disease
98728,Glaucoma
52198,Hypertension
77533,Stroke
15421,Hypertension
95399,Thyroid Disease
30475,Hypertension
90159,Hepatitis
573,Obesity
84391,Arthritis
56075,Cancer
364,Cancer
27856,Hypertension
57595,Hypertension
94719,Asthma
48172,Stroke
46386,Diabetes
7217,COPD
87613,Diabetes
91060,Glaucoma
14579,Hypertension
8954,Diabetes
75796,Obesity
364,COPD
67809,Epilepsy
28704,Stroke
89152,Kidney Disease
34143,Stroke
52435,Heart Disease
7360,Kidney Disease
94579,Diabetes
62202,Arthritis
27629,Arthritis
45323,COPD
62783,Kidney Disease
29743,Alzheimer
2725,Glaucoma
47278,Thyroid Disease
68746,Heart Disease
83380,Hypertension
21486,COPD
63180,Heart Disease
98605,Kidney Disease
21068,Alzheimer
10832,Arthritis
96742,Arthritis
9123,Glaucoma
37200,Obesity
761,Stroke
51215,Stroke
68014,Epilepsy
39215,Hepatitis
42132,Stroke
51531,Epilepsy
56575,Alzheimer
66398,Diabetes
10173,Hypertension
11819,Arthritis
8799,Alzheimer
85710,Diabetes
92280,Kidney Disease
26500,Alzheimer
49840,Stroke
77292,Thyroid Disease
27548,Alzheimer
88400,Kidney Disease
60319,Heart Disease
52514,Cancer
99443,Diabetes
95478,Asthma
62545,Obesity
47402,Kidney Disease
30925,COPD
96770,Stroke
50692,Cancer
95540,Diabetes
74870,Diabetes
95981,Alzheimer
97461,Alzheimer
34123,Heart Disease
58310,Alzheimer
9157,Diabetes
26137,COPD
12216,Hepatitis
16216,Glaucoma
86168,Stroke
73488,Thyroid Disease
65531,COPD
93003,Thyroid Disease
85206,Arthritis
81455,Heart Disease
43449,Hepatitis
20623,Stroke
19056,Arthritis
96278,Hepatitis
54321,Arthritis
8950,Kidney Disease
98869,Alzheimer
55172,Glaucoma
42219,Arthritis
80739,Alzheimer
11484,Alzheimer
63697,Heart Disease
89694,Diabetes
44606,Hepatitis
66635,Glaucoma
70887,Hypertension
64984,COPD
95355,Asthma
48708,Cancer
81353,Diabetes
81117,Glaucoma
36409,COPD
36165,Alzheimer
95199,Hepatitis
35725,Diabetes
59001,Alzheimer
11239,Glaucoma
89837,Epilepsy
79964,Glaucoma
28918,Heart Disease
86155,Kidney Disease
36310,Kidney Disease
97391,Kidney Disease
72199,Asthma
84078,Asthma
93266,Diabetes
91065,Hepatitis
55830,Kidney Disease
84240,Thyroid Disease
29605,Arthritis
72669,Heart Disease
76858,Epilepsy
57215,Diabetes
994,Epilepsy
14664,Heart Disease
41960,Kidney Disease
47270,Stroke
38923,Stroke
53787,Diabetes
34608,Kidney Disease
51505,Asthma
37988,Cancer
48718,Epilepsy
41610,Arthritis
59707,Hepatitis
92489,Cancer
36256,Cancer
82592,Obesity
56695,Stroke
38654,Cancer
4203,Diabetes
3462,Epilepsy
70837,Stroke
39107,COPD
2360,Glaucoma
72463,Epilepsy
46019,Arthritis
51932,Heart Disease
26478,Epilepsy
96440,Stroke
65395,Arthritis
38665,Kidney Disease
36780,Obesity
20487,Stroke
78710,Hypertension
64836,Glaucoma
52395,COPD
1944,Asthma
40233,Glaucoma
45229,Hypertension
36524,Alzheimer
58345,Obesity
55422,Stroke
70458,Hepatitis
22739,Diabetes
50278,COPD
6038,Heart Disease
49640,Heart Disease
33663,Diabetes
55872,Alzheimer
70115,Asthma
14673,Glaucoma
34093,Hypertension
89206,Kidney Disease
9558,Stroke
7806,Hypertension
5209,Diabetes
26213,Diabetes
19009,Diabetes
80255,Diabetes
66155,Thyroid Disease
40511,Alzheimer
74713,Thyroid Disease
96388,Hypertension
61484,Stroke
7101,Cancer
25032,Epilepsy
42294,Kidney Disease
62222,Stroke
21992,Obesity
22013,COPD
27434,Epilepsy
80306,Glaucoma
43610,Arthritis
83929,Diabetes
69303,Alzheimer
96034,Heart Disease
88121,Asthma
28510,Cancer
62973,Stroke
5559,Hypertension
50978,Hepatitis
35093,Stroke
15869,Epilepsy
40152,Epilepsy
99158,Diabetes
31285,Alzheimer
7341,Obesity
46824,Epilepsy
9142,Thyroid Disease
15653,Obesity
22064,Kidney Disease
66722,COPD
75297,Obesity
94952,Alzheimer
62586,Hypertension
30870,Kidney Disease
27297,Hepatitis
31473,Asthma
53354,Arthritis
13946,Arthritis
24699,Stroke
98625,Glaucoma
85410,Diabetes
13023,Kidney Disease
43666,Hypertension
60929,Kidney Disease
27517,Diabetes
96675,Kidney Disease
46110,Cancer
42672,Alzheimer
15972,Diabetes
87846,Glaucoma
27690,Cancer
95076,Hypertension
60992,Alzheimer
77396,Thyroid Disease
79746,Thyroid Disease
88317,Alzheimer
55422,Epilepsy
38145,Cancer
68240,Kidney Disease
75998,Epilepsy
75529,Cancer
80601,Alzheimer
16183,Diabetes
28440,Asthma
66944,Asthma
35665,Asthma
12865,Cancer
52390,Glaucoma
69528,COPD
26018,Arthritis
82132,Thyroid Disease
3454,Stroke
67120,Epilepsy
43343,Arthritis
22282,Obesity
96699,Alzheimer
85013,Kidney Disease
78258,Hepatitis
2632,Heart Disease
15658,Alzheimer
55690,Cancer
13424,Hypertension
60548,Thyroid Disease
84636,Stroke
31808,Obesity
41211,Epilepsy
73222,Alzheimer
25686,Heart Disease
13946,Diabetes
15565,Heart Disease
79783,Diabetes
4952,Hypertension
32045,Diabetes
54883,Glaucoma
37859,Kidney Disease
13847,Diabetes
94426,Diabetes
80668,Stroke
50336,Alzheimer
75642,Hypertension
42058,Epilepsy
26131,Arthritis
35808,Stroke
85558,Epilepsy
66860,Epilepsy
7589,Cancer
30206,Arthritis
96100,Thyroid Disease
95493,Thyroid Disease
44361,Hypertension
63511,Heart Disease
66029,Arthritis
14585,COPD
86778,Glaucoma
46469,Epilepsy
96716,Heart Disease
4301,Stroke
8860,Kidney Disease
16750,Alzheimer
83961,Heart Disease
51173,Diabetes
26769,Alzheimer
47738,Heart Disease
80000,Cancer
65922,Epilepsy
39918,Diabetes
26094,Arthritis
26677,Glaucoma
87543,Arthritis
28091,Epilepsy
31011,Heart Disease
95117,COPD
54784,Kidney Disease
54154,Glaucoma
78277,Heart Disease
53897,Glaucoma
37593,Heart Disease
92207,Hepatitis
36128,Heart Disease
35900,Hypertension
90257,Alzheimer
68355,Kidney Disease
78428,COPD
51530,Alzheimer
56367,Alzheimer
15810,Hypertension
93260,Diabetes
44930,Alzheimer
97896,Heart Disease
5779,Stroke
91982,Stroke
51531,Heart Disease
79438,COPD
50434,Hepatitis
90745,COPD
18256,Thyroid Disease
23854,Glaucoma
45928,Glaucoma
93817,Obesity
56987,Heart Disease
3078,Asthma
6973,Obesity
45545,Diabetes
41774,Epilepsy
74092,Obesity
58477,Hypertension
28911,Arthritis
18304,Epilepsy
76415,Hypertension
39758,Asthma
68781,Diabetes
33540,Alzheimer
50009,Hepatitis
84977,Obesity
99778,Diabetes
61367,Stroke
38152,Kidney Disease
77841,Diabetes
94316,Hypertension
5779,Arthritis
43135,Stroke
23372,Kidney Disease
31661,Arthritis
29470,Kidney Disease
92186,Stroke
54636,Epilepsy
37061,Alzheimer
97487,Alzheimer
3682,Thyroid Disease
92055,Alzheimer
3599,Heart Disease
60916,Kidney Disease
24210,Cancer
76246,Obesity
81950,Epilepsy
54570,Cancer
30451,Hypertension
78069,Obesity
98625,Kidney Disease
71673,Thyroid Disease
67069,Cancer
73635,Thyroid Disease
58886,Hepatitis
39916,Epilepsy
49650,Epilepsy
91590,Kidney Disease
44143,Epilepsy
78145,Glaucoma
68832,Epilepsy
20955,Obesity
11246,Thyroid Disease
13596,Asthma
44045,Heart Disease
1200,Diabetes
36724,COPD
29784,Hepatitis
64200,Thyroid Disease
35133,Epilepsy
49358,Hepatitis
35550,Arthritis
9290,Heart Disease
89991,Thyroid Disease
2445,Heart Disease
87767,Glaucoma
61995,Hepatitis
51738,Alzheimer
36443,Hypertension
54677,Epilepsy
47619,Kidney Disease
26012,Stroke
2930,COPD
10633,Hypertension
79485,Cancer
42294,Diabetes
20756,Kidney Disease
58996,COPD
3336,Thyroid Disease
12865,Arthritis
85083,Asthma
93928,Hepatitis
97133,Hypertension
6646,Cancer
46550,Cancer
55144,Hepatitis
43931,Alzheimer
67199,COPD
93020,Alzheimer
21052,Kidney Disease
77679,Cancer
