department_id,department_name,department_code,current_occupancy,max_capacity,num_staff,working_hours,emergency_support
53,Radiology,DEP-BA65_53,52,392,92,8 AM - 5 PM,TRUE
54,Dermatology,DEP-dz01_54,33,393,83,8 AM - 7 PM,TRUE
55,Neurology,DEP-pm51_55,2,284,80,10 AM - 4 PM,TRUE
56,Emergency,DEP-iB87_56,54,309,34,7 AM - 6 PM,TRUE
57,Pediatrics,DEP-pe47_57,94,195,21,9 AM - 10 PM,TRUE
58,ICU,DEP-dP81_58,167,320,2,11 AM - 10 PM,TRUE
59,Laboratory,DEP-Wp01_59,26,499,18,8 AM - 4 PM,TRUE
60,Pharmacy,DEP-En67_60,141,129,35,8 AM - 8 PM,TRUE
61,Pharmacy,DEP-ya02_61,87,154,88,11 AM - 10 PM,TRUE
62,Emergency,DEP-sB47_62,125,178,7,6 AM - 9 PM,TRUE
63,Radiology,DEP-jm87_63,11,51,43,12 AM - 5 PM,TRUE
64,Orthopedics,DEP-LV30_64,189,276,71,11 AM - 7 PM,TRUE
65,Neurology,DEP-dd05_65,19,403,20,10 AM - 4 PM,TRUE
66,ICU,DEP-Hk78_66,141,125,56,7 AM - 4 PM,TRUE
67,Surgery,DEP-le81_67,10,233,27,11 AM - 5 PM,TRUE
68,Surgery,DEP-zh13_68,199,336,53,10 AM - 9 PM,TRUE
69,Pediatrics,DEP-Mc39_69,41,459,23,9 AM - 4 PM,TRUE
70,Pharmacy,DEP-QL16_70,85,450,53,12 AM - 9 PM,TRUE
71,Radiology,DEP-qn85_71,40,453,90,6 AM - 7 PM,TRUE
72,Oncology,DEP-qz53_72,56,152,59,8 AM - 6 PM,TRUE
73,Pediatrics,DEP-uW47_73,6,387,25,9 AM - 6 PM,TRUE
74,Neurology,DEP-NK07_74,197,192,45,11 AM - 8 PM,TRUE
75,Laboratory,DEP-nG18_75,137,219,4,6 AM - 6 PM,TRUE
76,ICU,DEP-ep25_76,67,69,14,10 AM - 7 PM,TRUE
77,Pharmacy,DEP-CI42_77,80,273,78,10 AM - 4 PM,TRUE
78,ICU,DEP-ZP49_78,48,180,6,11 AM - 7 PM,TRUE
79,Emergency,DEP-tQ08_79,137,401,93,11 AM - 9 PM,TRUE
80,Surgery,DEP-hg24_80,110,85,86,8 AM - 8 PM,TRUE
81,Laboratory,DEP-rs82_81,31,418,39,10 AM - 6 PM,TRUE
82,Surgery,DEP-nR35_82,103,406,38,10 AM - 5 PM,TRUE
83,Dermatology,DEP-Fq48_83,170,244,87,11 AM - 5 PM,TRUE
84,Dermatology,DEP-rc16_84,140,476,1,8 AM - 6 PM,TRUE
85,Dermatology,DEP-Oq52_85,148,360,84,8 AM - 7 PM,TRUE
86,Oncology,DEP-TB78_86,172,159,66,9 AM - 10 PM,TRUE
87,Laboratory,DEP-eS01_87,21,195,66,11 AM - 9 PM,TRUE
88,Neurology,DEP-xL80_88,192,170,87,8 AM - 5 PM,TRUE
89,Orthopedics,DEP-ic26_89,6,73,32,9 AM - 8 PM,TRUE
90,Oncology,DEP-wn50_90,106,372,74,7 AM - 9 PM,TRUE
91,Oncology,DEP-wX31_91,102,174,19,11 AM - 9 PM,TRUE
92,Neurology,DEP-Vj69_92,199,267,29,7 AM - 10 PM,TRUE
93,Cardiology,DEP-Ab22_93,142,177,16,9 AM - 5 PM,TRUE
94,Laboratory,DEP-ZQ56_94,135,336,77,8 AM - 10 PM,TRUE
95,ICU,DEP-kY34_95,184,308,55,12 AM - 8 PM,TRUE
96,Orthopedics,DEP-cE16_96,190,491,61,9 AM - 6 PM,TRUE
97,Laboratory,DEP-wt37_97,70,442,100,10 AM - 7 PM,TRUE
98,Radiology,DEP-Qm30_98,112,89,92,8 AM - 5 PM,TRUE
99,Surgery,DEP-eX54_99,81,326,11,7 AM - 5 PM,TRUE
100,Dermatology,DEP-zR58_100,177,128,91,7 AM - 4 PM,TRUE
101,Dermatology,DEP-hq50_101,84,327,60,9 AM - 4 PM,TRUE
102,Dermatology,DEP-cg94_102,99,444,75,11 AM - 4 PM,TRUE
103,Oncology,DEP-UY65_103,1,230,39,12 AM - 7 PM,TRUE
104,Emergency,DEP-Gh69_104,191,426,70,12 AM - 8 PM,TRUE
105,Oncology,DEP-qc93_105,56,189,56,9 AM - 4 PM,TRUE
106,Surgery,DEP-HZ60_106,171,397,52,11 AM - 5 PM,TRUE
107,Orthopedics,DEP-Be35_107,159,323,4,9 AM - 8 PM,TRUE
108,Neurology,DEP-uQ59_108,164,269,18,12 AM - 7 PM,TRUE
109,Cardiology,DEP-tQ48_109,66,244,42,7 AM - 7 PM,TRUE
110,Surgery,DEP-Ss56_110,194,500,49,8 AM - 10 PM,TRUE
111,Radiology,DEP-AQ23_111,20,290,3,11 AM - 8 PM,TRUE
112,Surgery,DEP-Kt29_112,57,382,9,12 AM - 9 PM,TRUE
113,Cardiology,DEP-ts80_113,63,152,3,10 AM - 5 PM,TRUE
114,Orthopedics,DEP-MP69_114,121,392,15,10 AM - 5 PM,TRUE
115,Pharmacy,DEP-CR77_115,65,442,48,7 AM - 8 PM,TRUE
116,Orthopedics,DEP-YY87_116,79,105,75,6 AM - 6 PM,TRUE
117,Dermatology,DEP-sG21_117,183,151,10,10 AM - 9 PM,TRUE
118,Neurology,DEP-fW95_118,178,445,39,12 AM - 9 PM,TRUE
119,ICU,DEP-Zm43_119,200,71,45,10 AM - 7 PM,TRUE
120,Neurology,DEP-pE00_120,129,381,44,6 AM - 10 PM,TRUE
121,Oncology,DEP-AO17_121,27,271,47,11 AM - 10 PM,TRUE
122,Pharmacy,DEP-Fz36_122,39,272,23,11 AM - 8 PM,TRUE
123,ICU,DEP-WX20_123,137,446,62,9 AM - 7 PM,TRUE
124,Surgery,DEP-lZ63_124,62,475,12,8 AM - 7 PM,TRUE
125,Oncology,DEP-dJ87_125,145,362,86,9 AM - 6 PM,TRUE
126,Oncology,DEP-iZ17_126,83,143,63,7 AM - 6 PM,TRUE
127,Surgery,DEP-Mu88_127,71,500,77,11 AM - 6 PM,TRUE
128,Emergency,DEP-UG79_128,48,93,31,11 AM - 7 PM,TRUE
129,Emergency,DEP-kV87_129,194,173,89,9 AM - 9 PM,TRUE
130,Oncology,DEP-Wp74_130,4,97,38,7 AM - 7 PM,TRUE
131,Radiology,DEP-FO48_131,169,347,48,9 AM - 8 PM,TRUE
132,Dermatology,DEP-eT47_132,190,331,43,8 AM - 9 PM,TRUE
133,Radiology,DEP-vu34_133,78,178,30,6 AM - 9 PM,TRUE
134,Surgery,DEP-jo12_134,30,430,69,12 AM - 9 PM,TRUE
135,Pediatrics,DEP-eA23_135,55,428,62,8 AM - 9 PM,TRUE
136,Neurology,DEP-DA58_136,49,201,30,8 AM - 5 PM,TRUE
137,Cardiology,DEP-yX36_137,181,323,17,8 AM - 4 PM,TRUE
138,Emergency,DEP-yE09_138,74,407,17,11 AM - 10 PM,TRUE
139,Neurology,DEP-Wy54_139,3,343,37,9 AM - 7 PM,TRUE
140,Surgery,DEP-ZM88_140,47,76,33,12 AM - 7 PM,TRUE
141,Neurology,DEP-rB73_141,102,301,10,10 AM - 9 PM,TRUE
142,Orthopedics,DEP-vQ06_142,38,465,73,8 AM - 4 PM,TRUE
143,Neurology,DEP-Di62_143,142,441,54,10 AM - 8 PM,TRUE
144,Emergency,DEP-zL80_144,97,280,57,8 AM - 10 PM,TRUE
145,Radiology,DEP-PB01_145,145,367,8,10 AM - 9 PM,TRUE
146,Pediatrics,DEP-dq72_146,160,158,34,11 AM - 4 PM,TRUE
147,Pediatrics,DEP-Du53_147,44,332,10,7 AM - 4 PM,TRUE
148,Oncology,DEP-WA64_148,176,354,61,8 AM - 4 PM,TRUE
149,Radiology,DEP-bV17_149,180,194,90,12 AM - 7 PM,TRUE
150,Laboratory,DEP-oP05_150,59,185,81,10 AM - 9 PM,TRUE
151,Dermatology,DEP-pm00_151,29,328,29,11 AM - 5 PM,TRUE
152,Orthopedics,DEP-pi92_152,18,80,22,12 AM - 6 PM,TRUE
153,Oncology,DEP-nD19_153,31,289,89,8 AM - 9 PM,TRUE
154,Radiology,DEP-kM45_154,128,326,64,9 AM - 4 PM,TRUE
155,Dermatology,DEP-tg12_155,188,215,78,8 AM - 4 PM,TRUE
156,Pediatrics,DEP-KR04_156,172,478,74,10 AM - 4 PM,TRUE
157,ICU,DEP-eL63_157,10,440,97,7 AM - 7 PM,TRUE
158,Radiology,DEP-SX31_158,46,349,56,11 AM - 10 PM,TRUE
159,Neurology,DEP-YK91_159,120,228,53,8 AM - 6 PM,TRUE
160,Orthopedics,DEP-BQ58_160,84,260,89,9 AM - 6 PM,TRUE
161,Emergency,DEP-Pv18_161,9,282,12,8 AM - 6 PM,TRUE
162,Neurology,DEP-gB67_162,197,256,66,12 AM - 4 PM,TRUE
163,Dermatology,DEP-Bl72_163,13,146,67,8 AM - 8 PM,TRUE
164,Laboratory,DEP-NZ84_164,113,439,7,7 AM - 6 PM,TRUE
165,Radiology,DEP-BU77_165,112,500,90,9 AM - 4 PM,TRUE
166,Laboratory,DEP-pf45_166,155,459,31,11 AM - 5 PM,TRUE
167,Emergency,DEP-WD73_167,3,332,53,6 AM - 5 PM,TRUE
168,Oncology,DEP-vb96_168,30,381,20,9 AM - 9 PM,TRUE
169,Emergency,DEP-Fn52_169,180,189,54,12 AM - 7 PM,TRUE
170,Pediatrics,DEP-rM45_170,116,332,19,9 AM - 5 PM,TRUE
171,Neurology,DEP-aH48_171,70,445,54,8 AM - 10 PM,TRUE
172,Cardiology,DEP-UA13_172,72,421,39,12 AM - 8 PM,TRUE
173,Orthopedics,DEP-SE83_173,114,325,62,8 AM - 6 PM,TRUE
174,Oncology,DEP-Yb77_174,82,495,25,11 AM - 5 PM,TRUE
175,Pediatrics,DEP-zS43_175,198,260,6,8 AM - 9 PM,TRUE
176,Pharmacy,DEP-xE49_176,97,247,85,12 AM - 10 PM,TRUE
177,Oncology,DEP-BV85_177,9,114,65,10 AM - 6 PM,TRUE
178,Oncology,DEP-SD55_178,25,319,59,6 AM - 9 PM,TRUE
179,Dermatology,DEP-oh44_179,167,129,10,9 AM - 10 PM,TRUE
180,Surgery,DEP-hV35_180,159,404,51,11 AM - 4 PM,TRUE
181,Laboratory,DEP-nV23_181,136,244,41,11 AM - 9 PM,TRUE
182,Emergency,DEP-WH49_182,9,366,9,7 AM - 9 PM,TRUE
183,Pediatrics,DEP-ms41_183,191,96,56,6 AM - 10 PM,TRUE
184,Oncology,DEP-ta52_184,42,405,39,6 AM - 4 PM,TRUE
185,Cardiology,DEP-rc82_185,75,233,48,9 AM - 5 PM,TRUE
186,Emergency,DEP-Si84_186,105,339,88,12 AM - 5 PM,TRUE
187,Orthopedics,DEP-aK71_187,20,362,49,10 AM - 9 PM,TRUE
188,Oncology,DEP-Cv77_188,149,123,30,9 AM - 9 PM,TRUE
189,Oncology,DEP-Eh04_189,65,391,2,12 AM - 7 PM,TRUE
190,Laboratory,DEP-eK67_190,139,130,10,9 AM - 6 PM,TRUE
191,Laboratory,DEP-jZ02_191,108,403,33,9 AM - 10 PM,TRUE
192,Pediatrics,DEP-ph41_192,98,486,62,6 AM - 5 PM,TRUE
193,ICU,DEP-MY69_193,91,344,38,11 AM - 6 PM,TRUE
194,Laboratory,DEP-yC38_194,101,190,2,10 AM - 10 PM,TRUE
195,ICU,DEP-Bt49_195,190,304,37,12 AM - 10 PM,TRUE
196,ICU,DEP-NV90_196,90,162,82,7 AM - 8 PM,TRUE
197,Laboratory,DEP-qQ33_197,193,419,99,11 AM - 9 PM,TRUE
198,Laboratory,DEP-lJ23_198,24,371,83,6 AM - 6 PM,TRUE
199,Cardiology,DEP-AC20_199,148,236,94,7 AM - 4 PM,TRUE
200,Surgery,DEP-sc97_200,191,262,23,7 AM - 5 PM,TRUE
201,Emergency,DEP-SD44_201,128,189,22,8 AM - 10 PM,TRUE
202,Radiology,DEP-YY34_202,191,495,44,12 AM - 4 PM,TRUE
203,Neurology,DEP-Bh93_203,36,436,29,12 AM - 9 PM,TRUE
204,Emergency,DEP-rj32_204,93,96,51,6 AM - 6 PM,TRUE
205,Oncology,DEP-Yt02_205,94,394,96,11 AM - 6 PM,TRUE
206,Laboratory,DEP-Ch94_206,95,105,87,7 AM - 7 PM,TRUE
207,ICU,DEP-rG46_207,143,217,79,7 AM - 9 PM,TRUE
208,Laboratory,DEP-fM77_208,118,408,39,11 AM - 7 PM,TRUE
209,Orthopedics,DEP-Mq65_209,11,69,39,9 AM - 4 PM,TRUE
210,Pediatrics,DEP-RK13_210,137,119,50,9 AM - 6 PM,TRUE
211,ICU,DEP-Kc04_211,190,422,20,9 AM - 9 PM,TRUE
212,Oncology,DEP-HP27_212,157,258,36,6 AM - 9 PM,TRUE
213,Pediatrics,DEP-LB42_213,113,277,31,12 AM - 6 PM,TRUE
214,Laboratory,DEP-Ew71_214,94,328,83,8 AM - 4 PM,TRUE
215,Radiology,DEP-Qg55_215,48,112,59,6 AM - 9 PM,TRUE
216,Laboratory,DEP-SF56_216,163,355,3,6 AM - 10 PM,TRUE
217,Pediatrics,DEP-cD68_217,32,452,73,7 AM - 4 PM,TRUE
218,ICU,DEP-uh54_218,55,466,30,8 AM - 10 PM,TRUE
219,ICU,DEP-QI80_219,0,191,19,7 AM - 8 PM,TRUE
220,Orthopedics,DEP-mH60_220,28,388,4,7 AM - 4 PM,TRUE
221,Pediatrics,DEP-OC97_221,150,215,3,7 AM - 6 PM,TRUE
222,Orthopedics,DEP-rJ03_222,189,265,68,6 AM - 9 PM,TRUE
223,Oncology,DEP-SF47_223,114,448,47,10 AM - 8 PM,TRUE
224,Oncology,DEP-Zp09_224,128,163,79,6 AM - 9 PM,TRUE
225,Oncology,DEP-Ja24_225,164,65,8,9 AM - 10 PM,TRUE
226,Dermatology,DEP-oh61_226,175,105,63,11 AM - 7 PM,TRUE
227,Neurology,DEP-FT12_227,82,361,19,6 AM - 5 PM,TRUE
228,ICU,DEP-AE84_228,162,349,71,11 AM - 6 PM,TRUE
229,ICU,DEP-Jj37_229,135,200,59,10 AM - 8 PM,TRUE
230,Neurology,DEP-GV39_230,179,108,84,11 AM - 10 PM,TRUE
231,Dermatology,DEP-XY14_231,115,166,53,8 AM - 10 PM,TRUE
232,Dermatology,DEP-ra58_232,106,423,13,8 AM - 7 PM,TRUE
233,Laboratory,DEP-LQ49_233,65,241,20,11 AM - 7 PM,TRUE
234,Neurology,DEP-IE27_234,21,97,56,6 AM - 9 PM,TRUE
235,Orthopedics,DEP-WI58_235,142,80,76,10 AM - 8 PM,TRUE
236,Laboratory,DEP-mS75_236,31,260,46,12 AM - 9 PM,TRUE
237,Pharmacy,DEP-oX96_237,13,197,77,8 AM - 6 PM,TRUE
238,ICU,DEP-VE05_238,129,158,20,11 AM - 7 PM,TRUE
239,Neurology,DEP-QY66_239,89,482,72,8 AM - 4 PM,TRUE
240,ICU,DEP-ci27_240,57,463,55,12 AM - 8 PM,TRUE
241,ICU,DEP-gC95_241,168,474,89,8 AM - 4 PM,TRUE
242,Radiology,DEP-aU87_242,179,440,40,8 AM - 6 PM,TRUE
243,Orthopedics,DEP-eE62_243,36,339,85,9 AM - 4 PM,TRUE
244,Pharmacy,DEP-Sz59_244,162,65,12,11 AM - 8 PM,TRUE
245,Dermatology,DEP-RI15_245,107,282,44,7 AM - 6 PM,TRUE
246,Pharmacy,DEP-Ic57_246,83,447,73,10 AM - 4 PM,TRUE
247,Orthopedics,DEP-OR13_247,40,436,80,6 AM - 9 PM,TRUE
248,Radiology,DEP-Bg31_248,113,388,55,9 AM - 8 PM,TRUE
249,Dermatology,DEP-kS17_249,69,160,97,10 AM - 4 PM,TRUE
250,Dermatology,DEP-uY00_250,28,195,87,11 AM - 8 PM,TRUE
251,Emergency,DEP-xB45_251,170,207,6,7 AM - 7 PM,TRUE
252,Cardiology,DEP-AK38_252,52,204,28,12 AM - 5 PM,TRUE
253,Radiology,DEP-lf22_253,83,111,1,9 AM - 9 PM,TRUE
254,Orthopedics,DEP-Rp69_254,33,244,69,11 AM - 5 PM,TRUE
255,Neurology,DEP-oD92_255,101,491,95,6 AM - 7 PM,TRUE
256,Oncology,DEP-qQ47_256,19,491,41,10 AM - 7 PM,TRUE
257,Pharmacy,DEP-RI74_257,163,263,38,6 AM - 7 PM,TRUE
258,Surgery,DEP-wL17_258,43,460,80,9 AM - 10 PM,TRUE
259,Neurology,DEP-Dt64_259,111,482,14,7 AM - 7 PM,TRUE
260,Emergency,DEP-gp67_260,20,252,40,11 AM - 6 PM,TRUE
261,Surgery,DEP-Ks95_261,199,136,10,10 AM - 9 PM,TRUE
262,Emergency,DEP-Qz40_262,130,149,100,8 AM - 6 PM,TRUE
263,Pediatrics,DEP-RX09_263,26,124,33,7 AM - 5 PM,TRUE
264,Laboratory,DEP-VF09_264,19,140,99,11 AM - 7 PM,TRUE
265,ICU,DEP-Zw39_265,194,346,58,11 AM - 8 PM,TRUE
266,Laboratory,DEP-qR39_266,80,127,57,6 AM - 7 PM,TRUE
267,Laboratory,DEP-OP21_267,77,457,36,10 AM - 4 PM,TRUE
268,Emergency,DEP-cL47_268,18,208,60,9 AM - 4 PM,TRUE
269,Surgery,DEP-su21_269,73,89,83,12 AM - 10 PM,TRUE
270,ICU,DEP-mi62_270,152,309,50,9 AM - 8 PM,TRUE
271,Oncology,DEP-Gr58_271,146,383,25,8 AM - 8 PM,TRUE
272,Emergency,DEP-Zs47_272,38,81,58,6 AM - 10 PM,TRUE
273,Pharmacy,DEP-De51_273,21,308,83,7 AM - 4 PM,TRUE
274,Pharmacy,DEP-ZJ36_274,112,274,68,10 AM - 8 PM,TRUE
275,Surgery,DEP-aq16_275,95,194,50,9 AM - 10 PM,TRUE
276,Laboratory,DEP-xR17_276,153,76,81,11 AM - 6 PM,TRUE
277,Surgery,DEP-yO49_277,24,335,87,9 AM - 6 PM,TRUE
278,Pharmacy,DEP-Eb13_278,168,358,20,8 AM - 4 PM,TRUE
279,Surgery,DEP-No85_279,79,385,90,11 AM - 7 PM,TRUE
280,ICU,DEP-St17_280,181,93,40,10 AM - 7 PM,TRUE
281,Orthopedics,DEP-ic61_281,171,409,95,11 AM - 8 PM,TRUE
282,Laboratory,DEP-hg47_282,171,266,66,8 AM - 4 PM,TRUE
283,Radiology,DEP-yD82_283,46,159,44,12 AM - 7 PM,TRUE
284,Pediatrics,DEP-LV86_284,35,129,10,8 AM - 10 PM,TRUE
285,Emergency,DEP-Pg26_285,197,326,95,10 AM - 4 PM,TRUE
286,ICU,DEP-rc96_286,33,355,49,7 AM - 5 PM,TRUE
287,Pharmacy,DEP-CC53_287,197,369,22,11 AM - 7 PM,TRUE
288,Dermatology,DEP-Rx51_288,93,396,93,7 AM - 7 PM,TRUE
289,Pharmacy,DEP-zr50_289,200,279,30,10 AM - 5 PM,TRUE
290,Oncology,DEP-fQ17_290,49,238,87,10 AM - 7 PM,TRUE
291,Radiology,DEP-dY90_291,199,245,65,10 AM - 7 PM,TRUE
292,Pediatrics,DEP-YK32_292,154,120,33,6 AM - 9 PM,TRUE
293,Surgery,DEP-nL18_293,141,102,92,12 AM - 8 PM,TRUE
294,Radiology,DEP-Xj35_294,21,440,21,8 AM - 7 PM,TRUE
295,Dermatology,DEP-ji04_295,23,163,58,8 AM - 4 PM,TRUE
296,Cardiology,DEP-hQ42_296,101,307,48,7 AM - 7 PM,TRUE
297,Surgery,DEP-wY20_297,57,64,41,6 AM - 10 PM,TRUE
298,Orthopedics,DEP-bl95_298,35,69,37,12 AM - 7 PM,TRUE
299,Pharmacy,DEP-VA02_299,120,279,79,6 AM - 4 PM,TRUE
300,Radiology,DEP-EC11_300,55,477,20,10 AM - 9 PM,TRUE
301,Neurology,DEP-gC89_301,198,197,31,8 AM - 4 PM,TRUE
302,Pediatrics,DEP-cU39_302,107,377,80,9 AM - 4 PM,TRUE
303,Oncology,DEP-DP84_303,152,324,3,11 AM - 8 PM,TRUE
304,Pharmacy,DEP-zB07_304,36,199,55,6 AM - 8 PM,TRUE
305,Pediatrics,DEP-TC17_305,146,263,24,11 AM - 9 PM,TRUE
306,Emergency,DEP-Mj15_306,92,84,68,10 AM - 8 PM,TRUE
307,Dermatology,DEP-NO24_307,120,72,82,9 AM - 6 PM,TRUE
308,Pharmacy,DEP-yM85_308,4,232,9,8 AM - 5 PM,TRUE
309,ICU,DEP-GM47_309,188,437,43,7 AM - 4 PM,TRUE
310,Emergency,DEP-PP11_310,86,466,83,7 AM - 10 PM,TRUE
311,Pharmacy,DEP-Co36_311,122,373,24,12 AM - 5 PM,TRUE
312,Pharmacy,DEP-zA57_312,198,284,5,8 AM - 5 PM,TRUE
313,Pediatrics,DEP-Bu15_313,10,211,40,10 AM - 7 PM,TRUE
314,Radiology,DEP-jR45_314,9,435,83,7 AM - 6 PM,TRUE
315,Cardiology,DEP-ff11_315,167,219,35,6 AM - 10 PM,TRUE
316,Dermatology,DEP-Zi15_316,102,430,57,9 AM - 6 PM,TRUE
317,Oncology,DEP-JJ09_317,177,304,48,12 AM - 8 PM,TRUE
318,Neurology,DEP-wQ16_318,186,267,11,9 AM - 8 PM,TRUE
319,Emergency,DEP-sM60_319,75,214,14,6 AM - 6 PM,TRUE
320,Radiology,DEP-KG51_320,114,358,92,9 AM - 5 PM,TRUE
321,Surgery,DEP-og27_321,114,71,94,12 AM - 6 PM,TRUE
322,Radiology,DEP-hW85_322,163,455,8,6 AM - 9 PM,TRUE
323,Surgery,DEP-ZB93_323,131,460,96,11 AM - 5 PM,TRUE
324,Orthopedics,DEP-RP99_324,155,397,57,6 AM - 5 PM,TRUE
325,Pediatrics,DEP-QS09_325,199,380,47,8 AM - 7 PM,TRUE
326,ICU,DEP-rS02_326,39,397,58,8 AM - 6 PM,TRUE
327,Neurology,DEP-wa45_327,146,120,68,8 AM - 7 PM,TRUE
328,Laboratory,DEP-Qz29_328,71,177,15,6 AM - 9 PM,TRUE
329,Oncology,DEP-fV20_329,132,248,72,6 AM - 6 PM,TRUE
330,Pharmacy,DEP-AD36_330,114,159,79,8 AM - 9 PM,TRUE
331,Pediatrics,DEP-tU25_331,31,119,10,9 AM - 5 PM,TRUE
332,Neurology,DEP-fd99_332,174,482,41,11 AM - 6 PM,TRUE
333,Emergency,DEP-dR29_333,138,198,39,12 AM - 5 PM,TRUE
334,Surgery,DEP-QB47_334,130,164,16,7 AM - 10 PM,TRUE
335,Pediatrics,DEP-Ar97_335,126,63,47,10 AM - 8 PM,TRUE
336,Oncology,DEP-wB81_336,141,116,79,6 AM - 4 PM,TRUE
337,Dermatology,DEP-FH49_337,183,418,62,10 AM - 7 PM,TRUE
338,ICU,DEP-oz40_338,18,114,41,11 AM - 4 PM,TRUE
339,Oncology,DEP-nt00_339,174,314,45,7 AM - 10 PM,TRUE
340,Orthopedics,DEP-su24_340,110,307,8,12 AM - 4 PM,TRUE
341,Radiology,DEP-VB07_341,42,132,42,11 AM - 5 PM,TRUE
342,Emergency,DEP-IT26_342,72,483,11,8 AM - 5 PM,TRUE
343,Orthopedics,DEP-QZ88_343,160,205,79,10 AM - 4 PM,TRUE
344,ICU,DEP-Vc16_344,148,128,22,11 AM - 8 PM,TRUE
345,ICU,DEP-eu07_345,10,472,4,6 AM - 4 PM,TRUE
346,Laboratory,DEP-zT69_346,53,442,74,9 AM - 8 PM,TRUE
347,Oncology,DEP-hz64_347,160,329,38,11 AM - 6 PM,TRUE
348,Pediatrics,DEP-ZN52_348,175,257,39,9 AM - 4 PM,TRUE
349,Orthopedics,DEP-Bg51_349,112,262,62,9 AM - 5 PM,TRUE
