workplace,doctor_id
Rural Health Unit,47333
Main Hospital,14021
Main Hospital,43193
Rural Health Unit,26326
Rural Health Unit,91089
Clinic A,47843
Clinic A,60505
Emergency Center,65444
Emergency Center,58860
Emergency Center,71256
Clinic A,46531
Rural Health Unit,13886
Emergency Center,77147
Main Hospital,15213
Clinic A,63298
Emergency Center,93163
Main Hospital,31970
Emergency Center,82543
Clinic B,25863
Rural Health Unit,8200
Rural Health Unit,34387
Emergency Center,14972
Clinic B,80541
Emergency Center,48929
Private Practice,55448
Private Practice,24523
Rural Health Unit,17895
University Hospital,93079
Private Practice,38284
Private Practice,64921
Emergency Center,71046
Clinic A,96467
Clinic A,45688
Clinic B,77060
Clinic A,27124
Main Hospital,38356
University Hospital,7770
Private Practice,93243
University Hospital,35221
Main Hospital,52802
Private Practice,324
Clinic B,91395
Main Hospital,64843
Main Hospital,45054
University Hospital,2134
Emergency Center,90255
University Hospital,47242
Rural Health Unit,91677
University Hospital,10215
Clinic A,15806
Main Hospital,95782
University Hospital,84092
Main Hospital,94690
Rural Health Unit,11362
Clinic A,41222
Main Hospital,79638
University Hospital,26928
Main Hospital,64865
Private Practice,41480
Rural Health Unit,99972
Clinic A,28277
Emergency Center,65673
Main Hospital,80746
University Hospital,70305
Clinic A,7589
University Hospital,87304
University Hospital,21473
Main Hospital,15473
University Hospital,93365
Main Hospital,65484
Emergency Center,88358
Private Practice,6026
University Hospital,72465
University Hospital,94409
University Hospital,67603
Clinic B,42899
Clinic B,81620
Clinic A,96005
Private Practice,30539
Private Practice,49319
Clinic B,64491
Clinic A,68125
Clinic B,12527
Emergency Center,57014
Clinic A,96384
Private Practice,14283
Private Practice,46961
Clinic B,89922
Emergency Center,11955
Clinic B,34100
Rural Health Unit,72105
Main Hospital,17133
Main Hospital,2857
Emergency Center,16059
University Hospital,51773
University Hospital,36042
Main Hospital,38680
Main Hospital,17987
University Hospital,50134
Clinic A,42153
University Hospital,61824
Clinic B,31608
Clinic A,50911
Clinic B,91439
Main Hospital,64517
Clinic A,2612
Clinic B,42413
Clinic B,9506
Clinic A,42284
Emergency Center,41586
Rural Health Unit,40215
University Hospital,51327
Private Practice,28953
Clinic B,31194
University Hospital,44007
Rural Health Unit,94426
Private Practice,49638
University Hospital,99384
Main Hospital,41774
Private Practice,9830
Rural Health Unit,92340
University Hospital,13272
Clinic B,70795
Private Practice,64349
Main Hospital,78671
Clinic A,62071
Clinic B,11945
Main Hospital,5848
Main Hospital,98596
Private Practice,72561
University Hospital,75066
Clinic A,65811
Clinic B,21910
Clinic B,57067
University Hospital,8783
Clinic A,91804
Private Practice,74264
Clinic B,37498
Clinic A,74976
Private Practice,90919
Private Practice,48816
Rural Health Unit,17614
Clinic B,11703
University Hospital,49009
Emergency Center,17779
Clinic B,7553
Rural Health Unit,66207
Main Hospital,23276
Main Hospital,3597
Private Practice,27096
Emergency Center,1166
Rural Health Unit,79736
Clinic B,33029
Main Hospital,86816
Main Hospital,44077
Clinic B,67802
Rural Health Unit,94540
Clinic A,96564
Private Practice,70075
Clinic B,38506
Clinic A,43992
Private Practice,48717
Emergency Center,76062
University Hospital,69446
Private Practice,74632
Emergency Center,63908
University Hospital,27444
Main Hospital,16961
Main Hospital,611
Main Hospital,2348
Private Practice,16899
Clinic A,59759
University Hospital,47087
Main Hospital,17197
Rural Health Unit,49177
Clinic B,85664
University Hospital,33126
University Hospital,68197
Clinic A,94210
Emergency Center,68569
Clinic A,65058
Main Hospital,88032
Clinic B,9836
Clinic B,60853
Rural Health Unit,40987
Rural Health Unit,22349
Main Hospital,23969
Clinic B,62684
Clinic A,20892
Private Practice,23758
Clinic A,17125
Private Practice,85848
Main Hospital,68039
Clinic B,45318
Rural Health Unit,7152
University Hospital,98491
Rural Health Unit,49628
Emergency Center,11536
University Hospital,13453
Private Practice,83563
Clinic A,47624
Clinic A,78636
Rural Health Unit,29064
Clinic A,21516
Rural Health Unit,24581
Rural Health Unit,44293
Clinic A,77242
Emergency Center,72512
Main Hospital,90677
Clinic A,42184
Private Practice,59355
Clinic B,96576
Rural Health Unit,45258
Emergency Center,93107
Rural Health Unit,54719
Private Practice,13955
Rural Health Unit,37567
Private Practice,4234
Rural Health Unit,66967
Clinic A,54600
Clinic B,32943
Clinic A,93001
Rural Health Unit,58827
Private Practice,49440
Main Hospital,43327
Emergency Center,81968
Rural Health Unit,9552
Main Hospital,20889
Rural Health Unit,43500
Emergency Center,1153
Clinic A,31958
Clinic A,70809
Rural Health Unit,5747
Emergency Center,69888
Clinic B,26945
Clinic B,89921
Rural Health Unit,33018
Rural Health Unit,82603
Rural Health Unit,84072
Clinic A,13911
Clinic A,51788
Main Hospital,71529
Private Practice,72754
Clinic A,27532
Emergency Center,24116
Clinic B,7128
Clinic B,88039
Rural Health Unit,87988
Main Hospital,43036
Rural Health Unit,56139
Clinic B,47118
Clinic B,63828
Private Practice,70597
University Hospital,82788
Emergency Center,72298
Private Practice,51445
Rural Health Unit,52007
University Hospital,89674
Clinic B,86430
Main Hospital,99807
Main Hospital,50868
Clinic B,92240
Clinic A,74732
University Hospital,49326
Clinic B,63191
Main Hospital,84341
Main Hospital,86652
University Hospital,77436
Emergency Center,21119
Clinic B,67717
Private Practice,11239
Rural Health Unit,53840
Clinic B,94920
Emergency Center,2170
University Hospital,23255
University Hospital,12214
Main Hospital,56557
Emergency Center,49969
University Hospital,10986
Clinic A,97471
Clinic B,90146
Main Hospital,34249
Private Practice,72365
Emergency Center,75713
Main Hospital,30116
University Hospital,72165
Rural Health Unit,11939
University Hospital,48606
Private Practice,86006
Private Practice,64797
Private Practice,91547
Private Practice,11382
Private Practice,67861
Clinic A,76406
Clinic B,75354
Emergency Center,15336
Main Hospital,31886
Private Practice,63172
Clinic B,54057
University Hospital,12190
Clinic B,46338
Private Practice,65404
Rural Health Unit,32728
Main Hospital,64574
Private Practice,64532
Clinic B,29110
University Hospital,65860
Clinic B,60302
Private Practice,80318
Emergency Center,47962
Clinic B,52506
Emergency Center,94478
Private Practice,96802
Clinic B,67765
University Hospital,6253
Clinic A,12622
Clinic A,2599
Emergency Center,22877
Private Practice,49947
Emergency Center,55288
Private Practice,41533
Private Practice,98028
Clinic A,95390
University Hospital,8361
University Hospital,13622
Clinic B,37247
Emergency Center,62410
University Hospital,77441
Rural Health Unit,40587
Main Hospital,54028
Clinic B,45073
Clinic B,1197
Clinic A,53967
Emergency Center,49592
Rural Health Unit,90954
University Hospital,37957
University Hospital,24613
Private Practice,16389
Clinic B,44815
Emergency Center,4159
Emergency Center,71197
Emergency Center,32631
Private Practice,96380
Clinic A,42344
University Hospital,47241
Emergency Center,42534
Rural Health Unit,76162
Rural Health Unit,65525
Private Practice,70300
Clinic A,99181
Private Practice,17659
Main Hospital,64237
Clinic B,72682
University Hospital,48118
Private Practice,47720
Private Practice,24886
University Hospital,42208
Clinic B,4099
Main Hospital,86235
Rural Health Unit,9289
Rural Health Unit,83744
Clinic A,7641
Private Practice,28298
Clinic B,86098
Clinic A,13829
Rural Health Unit,21864
Clinic A,46179
Clinic A,42395
Main Hospital,33303
Main Hospital,78087
Clinic A,2844
Emergency Center,74922
University Hospital,32749
Rural Health Unit,96241
Rural Health Unit,75527
Main Hospital,7329
Emergency Center,97999
Emergency Center,39948
Private Practice,6621
University Hospital,11807
Clinic A,62371
Private Practice,56949
Private Practice,85491
Emergency Center,42390
Emergency Center,24967
Emergency Center,80769
Clinic A,26173
Clinic A,19356
Private Practice,58990
Private Practice,71932
Main Hospital,76415
Rural Health Unit,80997
Rural Health Unit,86520
Rural Health Unit,66655
Main Hospital,24434
Rural Health Unit,43721
Emergency Center,39626
Clinic A,72737
Clinic A,50096
Rural Health Unit,40944
Private Practice,89659
University Hospital,19025
Emergency Center,15517
Main Hospital,53903
University Hospital,24215
Clinic A,30432
Rural Health Unit,79260
Main Hospital,21467
Emergency Center,97303
Clinic A,80879
Rural Health Unit,5482
Emergency Center,68843
Private Practice,32207
University Hospital,6461
University Hospital,55372
University Hospital,94718
Clinic B,23445
Rural Health Unit,90664
Emergency Center,92566
University Hospital,20958
Rural Health Unit,19672
Private Practice,37851
University Hospital,1600
Emergency Center,77183
Rural Health Unit,32075
University Hospital,45746
Emergency Center,54651
Clinic A,23254
Private Practice,48309
Rural Health Unit,61710
Emergency Center,91203
Emergency Center,37642
Clinic B,80516
Rural Health Unit,30503
Clinic A,96661
Rural Health Unit,73454
Private Practice,40340
Clinic B,94948
Rural Health Unit,62797
Rural Health Unit,43923
University Hospital,88892
Emergency Center,8678
Private Practice,21753
Clinic A,93040
Clinic B,39666
Emergency Center,12137
Main Hospital,44579
Private Practice,88698
Clinic B,15182
Clinic A,68233
Clinic B,42058
Clinic B,20643
Clinic B,35527
University Hospital,80381
Main Hospital,6613
Clinic A,77693
Clinic A,25971
Clinic A,74421
Emergency Center,84465
Private Practice,33823
Clinic A,3966
Private Practice,45693
Clinic A,42712
Main Hospital,31270
Emergency Center,90971
Emergency Center,90981
Clinic B,14984
University Hospital,9123
Emergency Center,8058
Emergency Center,69632
Main Hospital,39286
Clinic A,76379
Rural Health Unit,48394
Emergency Center,14378
Emergency Center,41697
Rural Health Unit,62242
University Hospital,16455
Private Practice,57243
Main Hospital,91146
Rural Health Unit,50425
Rural Health Unit,93340
University Hospital,92390
Emergency Center,60940
Emergency Center,87650
Main Hospital,61455
Clinic B,4630
Clinic B,82483
Rural Health Unit,81830
Emergency Center,33036
Rural Health Unit,77564
Rural Health Unit,23699
Emergency Center,65004
University Hospital,83568
Private Practice,21967
Private Practice,30626
University Hospital,1554
Rural Health Unit,5376
University Hospital,35728
Clinic A,88511
Emergency Center,41060
Clinic A,89849
Clinic B,12050
Emergency Center,15725
Emergency Center,24217
Main Hospital,55965
Emergency Center,50174
Clinic B,9096
Private Practice,18857
Private Practice,4569
Rural Health Unit,85572
Emergency Center,51292
Private Practice,9188
Clinic A,43704
Rural Health Unit,10545
Emergency Center,50353
Clinic A,47089
University Hospital,25309
University Hospital,84332
Main Hospital,44470
Emergency Center,87466
University Hospital,4833
University Hospital,31808
Private Practice,59793
Main Hospital,77984
Main Hospital,88918
Private Practice,5975
Emergency Center,91264
Clinic A,82863
Rural Health Unit,23516
Emergency Center,18754
Clinic A,90659
Main Hospital,39478
Clinic B,81123
Emergency Center,36231
Clinic B,65210
Clinic A,56973
Emergency Center,70432
Clinic B,58303
Clinic B,14435
Rural Health Unit,9637
Emergency Center,23338
Clinic B,44025
Rural Health Unit,60106
Rural Health Unit,80154
Emergency Center,28369
Clinic B,56917
Rural Health Unit,5796
Main Hospital,12844
Emergency Center,17394
Main Hospital,92183
Private Practice,92161
University Hospital,90538
Main Hospital,71098
Clinic B,67467
Clinic A,5357
Private Practice,43899
Main Hospital,92123
Rural Health Unit,89158
Private Practice,16083
Main Hospital,60014
Rural Health Unit,21596
Main Hospital,82218
Clinic A,84500
Clinic A,84498
Rural Health Unit,60031
Main Hospital,48745
University Hospital,81085
Clinic A,31182
Clinic A,73726
Clinic A,69945
Emergency Center,60036
Private Practice,98849
Main Hospital,44392
University Hospital,3250
Clinic A,79711
Emergency Center,2955
Private Practice,41649
Clinic B,93842
Rural Health Unit,58402
Clinic B,37831
Clinic A,76962
University Hospital,77421
University Hospital,22923
Private Practice,72596
Private Practice,96974
Main Hospital,83435
Rural Health Unit,15644
Rural Health Unit,74130
Clinic A,67177
Clinic B,60429
Main Hospital,46659
University Hospital,12387
Main Hospital,91483
Clinic B,36885
University Hospital,20257
Private Practice,17200
Emergency Center,68566
Emergency Center,90995
Private Practice,90546
Clinic A,25736
Main Hospital,8683
University Hospital,77018
Private Practice,45591
Rural Health Unit,1832
Private Practice,12934
Clinic A,57627
Main Hospital,29825
Private Practice,64987
Rural Health Unit,37173
Clinic B,56093
Rural Health Unit,1675
Private Practice,11141
University Hospital,8481
Rural Health Unit,30522
Main Hospital,99130
Rural Health Unit,53011
University Hospital,64138
Rural Health Unit,65291
Main Hospital,39682
Clinic B,61082
University Hospital,70848
Emergency Center,50283
Private Practice,72963
Clinic B,50997
Main Hospital,75000
University Hospital,77469
Private Practice,3689
Clinic B,44729
Main Hospital,30752
Rural Health Unit,2583
Emergency Center,2674
Rural Health Unit,12809
Emergency Center,44504
Main Hospital,70232
Emergency Center,97371
Clinic B,69607
Private Practice,56742
Rural Health Unit,59405
Emergency Center,75608
Private Practice,80533
Clinic A,31506
Emergency Center,83090
Clinic A,53197
Private Practice,63620
University Hospital,33868
Private Practice,63680
Clinic B,53347
University Hospital,30938
Rural Health Unit,33004
University Hospital,96631
Rural Health Unit,22957
Emergency Center,64272
Emergency Center,32289
Emergency Center,2762
Rural Health Unit,90529
Private Practice,15997
University Hospital,39438
Clinic B,57520
Clinic B,64447
Rural Health Unit,34205
Clinic A,84094
Rural Health Unit,41120
Main Hospital,17051
Clinic B,90107
Emergency Center,51576
Clinic A,84817
Rural Health Unit,22119
Emergency Center,15381
University Hospital,29423
University Hospital,56532
Private Practice,53546
Emergency Center,76402
Clinic B,52108
Main Hospital,12488
Emergency Center,87921
Rural Health Unit,39650
Clinic B,23510
Clinic A,93094
Emergency Center,36831
Clinic A,67760
Clinic B,86169
Rural Health Unit,61636
Clinic B,57870
Clinic B,19405
Clinic B,73825
University Hospital,10070
Private Practice,89212
Clinic B,60323
University Hospital,86246
Main Hospital,74600
University Hospital,78943
Clinic A,11690
Main Hospital,98639
Clinic A,79103
Private Practice,62447
Emergency Center,24426
Emergency Center,29390
University Hospital,11006
Rural Health Unit,39375
Clinic A,67294
Private Practice,46590
Emergency Center,23882
Private Practice,76966
Private Practice,24535
Emergency Center,766
Emergency Center,97549
Rural Health Unit,16395
Main Hospital,27424
Main Hospital,25023
Clinic B,19978
Clinic A,31801
Emergency Center,82629
Private Practice,78097
Clinic A,94976
Clinic B,2492
Private Practice,15327
University Hospital,37750
Clinic B,89780
Emergency Center,93242
University Hospital,37022
University Hospital,79396
Clinic B,6166
Emergency Center,4190
Private Practice,63748
University Hospital,90457
Clinic B,59917
Clinic B,73724
Private Practice,95466
Emergency Center,84815
Clinic B,863
Clinic B,48815
Clinic B,29908
Clinic A,47418
Main Hospital,11112
Private Practice,86530
Clinic A,68128
Clinic B,36671
Main Hospital,71358
Private Practice,53019
University Hospital,94225
Rural Health Unit,68332
Private Practice,33907
Clinic A,7857
Clinic A,75030
Clinic A,93670
Private Practice,75073
Emergency Center,47352
Clinic B,8151
Private Practice,52789
University Hospital,83422
Rural Health Unit,18919
University Hospital,69355
University Hospital,48409
Clinic B,5279
Main Hospital,3667
Rural Health Unit,28256
Clinic A,54732
Clinic B,62289
Clinic A,99834
Clinic B,50755
Clinic A,36356
Clinic B,40481
Main Hospital,99302
Private Practice,15765
University Hospital,75963
Clinic A,44558
Clinic B,71012
Main Hospital,88946
Main Hospital,12942
University Hospital,31407
Clinic B,15083
Private Practice,83039
Clinic A,72706
Private Practice,26667
Rural Health Unit,72764
Rural Health Unit,85597
Emergency Center,49827
Main Hospital,21157
Rural Health Unit,72938
Main Hospital,89404
University Hospital,44778
Clinic B,62459
Emergency Center,64091
Emergency Center,58350
Emergency Center,23224
Clinic B,58271
Clinic A,80405
Main Hospital,4822
Clinic B,51915
Rural Health Unit,96837
Emergency Center,16702
Main Hospital,25146
Rural Health Unit,84012
Main Hospital,89151
Emergency Center,55058
Emergency Center,3325
Main Hospital,21558
University Hospital,77664
Private Practice,7134
Private Practice,57478
Main Hospital,49465
Clinic A,7181
Clinic A,38655
Rural Health Unit,81789
University Hospital,44514
Clinic B,14156
Main Hospital,16512
Clinic A,24369
Main Hospital,85420
University Hospital,38150
Rural Health Unit,7157
Emergency Center,44767
University Hospital,74199
University Hospital,5530
Rural Health Unit,31328
University Hospital,24149
Clinic A,18664
Rural Health Unit,37237
University Hospital,25688
Emergency Center,85835
Emergency Center,86626
Emergency Center,18931
Clinic B,41674
Rural Health Unit,24785
University Hospital,16575
Emergency Center,86966
Clinic B,49055
University Hospital,64853
University Hospital,30721
Main Hospital,72161
University Hospital,5392
Private Practice,48170
Main Hospital,34815
Rural Health Unit,84365
Clinic A,71568
Private Practice,79171
Clinic A,52928
Clinic B,52101
Private Practice,61438
Main Hospital,54747
Clinic A,40051
Clinic A,98648
Clinic A,18236
University Hospital,51234
Main Hospital,62230
Clinic A,22468
Main Hospital,24470
Emergency Center,86451
Emergency Center,51262
Private Practice,27063
University Hospital,20811
Emergency Center,26437
Clinic B,68925
Main Hospital,96638
Clinic A,51260
Clinic B,96107
Private Practice,5723
Clinic B,8748
Private Practice,15889
Rural Health Unit,59105
Emergency Center,88555
Main Hospital,1407
Private Practice,60470
Clinic A,36587
Clinic B,70078
Rural Health Unit,23322
Rural Health Unit,68534
Private Practice,78407
University Hospital,26212
Private Practice,8280
Rural Health Unit,14114
Clinic A,56083
Emergency Center,41450
Main Hospital,81777
University Hospital,13344
Clinic A,82689
Private Practice,41676
Clinic A,58839
Clinic B,30488
Rural Health Unit,81233
Clinic A,26789
Main Hospital,36454
Main Hospital,37808
Clinic A,87163
Rural Health Unit,24057
Clinic B,83147
University Hospital,30973
Private Practice,32102
Rural Health Unit,63068
University Hospital,55403
Clinic B,99867
Emergency Center,23029
Main Hospital,63025
Emergency Center,1682
Private Practice,48908
Clinic B,50439
Private Practice,66795
Emergency Center,32347
Clinic B,79355
University Hospital,15300
University Hospital,67965
Emergency Center,65620
Emergency Center,98626
Main Hospital,18705
University Hospital,64451
Main Hospital,96081
Emergency Center,65878
Private Practice,99505
Clinic B,83418
University Hospital,3888
Clinic B,87205
Main Hospital,79034
Main Hospital,56289
Clinic A,52228
Private Practice,91528
Rural Health Unit,36630
Rural Health Unit,62285
University Hospital,2179
University Hospital,52450
Main Hospital,50444
Rural Health Unit,66143
Private Practice,61184
Rural Health Unit,27740
Clinic B,21002
University Hospital,33767
Main Hospital,95081
Rural Health Unit,84408
Rural Health Unit,57273
Clinic A,97069
Emergency Center,49832
University Hospital,55535
Private Practice,13970
Emergency Center,65514
Clinic B,40487
Clinic A,28272
University Hospital,20014
Emergency Center,63898
Private Practice,55369
Rural Health Unit,37098
Emergency Center,7094
Main Hospital,57918
Emergency Center,96379
Clinic B,49355
Emergency Center,23544
Clinic B,4455
Clinic B,87914
Private Practice,48145
Main Hospital,29482
Rural Health Unit,77709
Clinic A,42628
Clinic B,72883
Emergency Center,93552
Private Practice,78525
Emergency Center,16884
Clinic B,11090
Private Practice,11
Emergency Center,64283
Rural Health Unit,12977
Rural Health Unit,17590
University Hospital,72069
Main Hospital,88673
Emergency Center,91331
Main Hospital,49668
Clinic B,71875
Clinic B,19179
Clinic B,13762
Main Hospital,45731
Rural Health Unit,98549
Emergency Center,1244
Rural Health Unit,6929
University Hospital,92639
Rural Health Unit,56068
Main Hospital,53282
Private Practice,21641
Rural Health Unit,88740
University Hospital,69783
Emergency Center,55702
Emergency Center,89663
Main Hospital,29500
Clinic A,64947
University Hospital,15448
Clinic B,39953
University Hospital,7536
Rural Health Unit,24400
Emergency Center,67412
Private Practice,32785
Emergency Center,14246
Rural Health Unit,56880
Main Hospital,51713
Clinic A,87194
Clinic B,93627
University Hospital,17225
Clinic A,89710
Clinic B,62939
Emergency Center,67009
Private Practice,87337
Emergency Center,24729
Main Hospital,35895
Main Hospital,6678
Private Practice,66828
University Hospital,93268
Rural Health Unit,97616
Clinic A,33064
Private Practice,43412
Clinic A,50338
Clinic B,24960
University Hospital,39515
Main Hospital,25127
University Hospital,8874
Emergency Center,37965
Main Hospital,69791
Clinic A,51150
Rural Health Unit,91320
Main Hospital,33925
Emergency Center,69935
Main Hospital,35446
Private Practice,183
Rural Health Unit,17512
Clinic A,95745
Emergency Center,13951
Private Practice,57958
Clinic B,95195
University Hospital,24251
Private Practice,36968
Clinic B,9103
Emergency Center,94936
Rural Health Unit,14422
Emergency Center,18695
Emergency Center,44353
Clinic A,21383
Emergency Center,71252
University Hospital,18590
Clinic A,37597
Emergency Center,64463
Clinic A,80700
University Hospital,56181
University Hospital,39526
Private Practice,34786
Clinic A,85964
Rural Health Unit,8822
Main Hospital,50465
Clinic B,83440
Rural Health Unit,69962
Rural Health Unit,69067
Rural Health Unit,26644
Emergency Center,45789
Clinic B,55191
Rural Health Unit,92269
University Hospital,86867
Clinic B,32118
Rural Health Unit,97459
Main Hospital,91127
Clinic B,65967
Private Practice,93245
Clinic B,68354
Rural Health Unit,24077
University Hospital,85550
University Hospital,25523
Private Practice,36989
Emergency Center,24607
Rural Health Unit,74029
Clinic A,40449
Emergency Center,98545
University Hospital,97183
Emergency Center,76855
Clinic B,12227
Clinic B,21108
University Hospital,47227
Rural Health Unit,31340
University Hospital,12767
Emergency Center,59612
Emergency Center,11695
Clinic B,57939
Rural Health Unit,37568
Clinic A,41110
Private Practice,81345
Clinic A,13801
University Hospital,60591
Emergency Center,11248
Clinic A,43086
Rural Health Unit,36487
Rural Health Unit,74475
Emergency Center,56375
Main Hospital,55433
Clinic B,39103
Private Practice,24127
