department_id,department_name,department_code,current_occupancy,max_capacity,num_staff,working_hours,emergency_support,doctor_id
62216,Oncology,DEP-Wp74,4,97,38,7 AM - 7 PM,yes,72340
83579,Radiology,DEP-FO48,169,347,48,9 AM - 8 PM,no,30613
31358,Dermatology,DEP-eT47,190,331,43,8 AM - 9 PM,no,85461
37450,Radiology,DEP-vu34,78,178,30,6 AM - 9 PM,yes,13154
70798,Surgery,DEP-jo12,30,430,69,12 AM - 9 PM,yes,85823
50205,Pediatrics,DEP-eA23,55,428,62,8 AM - 9 PM,no,88389
53424,Neurology,DEP-DA58,49,201,30,8 AM - 5 PM,no,80931
8161,Cardiology,DEP-yX36,181,323,17,8 AM - 4 PM,yes,99663
76556,Emergency,DEP-yE09,74,407,17,11 AM - 10 PM,no,6028
772,Neurology,DEP-Wy54,3,343,37,9 AM - 7 PM,no,54008
54921,Surgery,DEP-ZM88,47,76,33,12 AM - 7 PM,yes,81226
28906,Neurology,DEP-rB73,102,301,10,10 AM - 9 PM,yes,33466
63654,Orthopedics,DEP-vQ06,38,465,73,8 AM - 4 PM,yes,20706
89016,Neurology,DEP-Di62,142,441,54,10 AM - 8 PM,yes,39599
81560,Emergency,DEP-zL80,97,280,57,8 AM - 10 PM,no,47049
73975,Radiology,DEP-PB01,145,367,8,10 AM - 9 PM,yes,74177
17786,Pediatrics,DEP-dq72,160,158,34,11 AM - 4 PM,yes,30162
49689,Pediatrics,DEP-Du53,44,332,10,7 AM - 4 PM,no,86400
44236,Oncology,DEP-WA64,176,354,61,8 AM - 4 PM,yes,57779
33065,Radiology,DEP-bV17,180,194,90,12 AM - 7 PM,yes,54460
70702,Laboratory,DEP-oP05,59,185,81,10 AM - 9 PM,yes,63156
8993,Dermatology,DEP-pm00,29,328,29,11 AM - 5 PM,no,98848
2671,Orthopedics,DEP-pi92,18,80,22,12 AM - 6 PM,no,47942
62070,Oncology,DEP-nD19,31,289,89,8 AM - 9 PM,no,98174
91680,Radiology,DEP-kM45,128,326,64,9 AM - 4 PM,yes,81205
79593,Dermatology,DEP-tg12,188,215,78,8 AM - 4 PM,yes,91891
75849,Pediatrics,DEP-KR04,172,478,74,10 AM - 4 PM,no,15220
49192,ICU,DEP-eL63,10,440,97,7 AM - 7 PM,no,91289
90520,Radiology,DEP-SX31,46,349,56,11 AM - 10 PM,no,80694
39529,Neurology,DEP-YK91,120,228,53,8 AM - 6 PM,yes,30947
5383,Orthopedics,DEP-BQ58,84,260,89,9 AM - 6 PM,no,36160
48571,Emergency,DEP-Pv18,9,282,12,8 AM - 6 PM,no,83819
1658,Neurology,DEP-gB67,197,256,66,12 AM - 4 PM,no,8992
47472,Dermatology,DEP-Bl72,13,146,67,8 AM - 8 PM,no,78116
96180,Laboratory,DEP-NZ84,113,439,7,7 AM - 6 PM,yes,14408
70539,Radiology,DEP-BU77,112,500,90,9 AM - 4 PM,yes,42437
77656,Laboratory,DEP-pf45,155,459,31,11 AM - 5 PM,no,8330
36559,Emergency,DEP-WD73,3,332,53,6 AM - 5 PM,yes,5683
74691,Oncology,DEP-vb96,30,381,20,9 AM - 9 PM,no,52640
64789,Emergency,DEP-Fn52,180,189,54,12 AM - 7 PM,no,79730
46507,Pediatrics,DEP-rM45,116,332,19,9 AM - 5 PM,yes,59469
91905,Neurology,DEP-aH48,70,445,54,8 AM - 10 PM,no,94481
25042,Cardiology,DEP-UA13,72,421,39,12 AM - 8 PM,no,54524
64038,Orthopedics,DEP-SE83,114,325,62,8 AM - 6 PM,no,62163
84659,Oncology,DEP-Yb77,82,495,25,11 AM - 5 PM,no,17054
12196,Pediatrics,DEP-zS43,198,260,6,8 AM - 9 PM,no,98341
31890,Pharmacy,DEP-xE49,97,247,85,12 AM - 10 PM,yes,13579
72544,Oncology,DEP-BV85,9,114,65,10 AM - 6 PM,yes,72910
72140,Oncology,DEP-SD55,25,319,59,6 AM - 9 PM,yes,80422
35509,Dermatology,DEP-oh44,167,129,10,9 AM - 10 PM,no,46009
94540,Surgery,DEP-hV35,159,404,51,11 AM - 4 PM,no,4018
70236,Laboratory,DEP-nV23,136,244,41,11 AM - 9 PM,no,48503
63464,Emergency,DEP-WH49,9,366,9,7 AM - 9 PM,no,6522
78222,Pediatrics,DEP-ms41,191,96,56,6 AM - 10 PM,yes,35804
29816,Oncology,DEP-ta52,42,405,39,6 AM - 4 PM,no,69066
92801,Cardiology,DEP-rc82,75,233,48,9 AM - 5 PM,yes,26794
7146,Emergency,DEP-Si84,105,339,88,12 AM - 5 PM,yes,1013
83606,Orthopedics,DEP-aK71,20,362,49,10 AM - 9 PM,yes,73233
37268,Oncology,DEP-Cv77,149,123,30,9 AM - 9 PM,no,2456
24164,Oncology,DEP-Eh04,65,391,2,12 AM - 7 PM,no,83904
8564,Laboratory,DEP-eK67,139,130,10,9 AM - 6 PM,no,60305
82502,Laboratory,DEP-jZ02,108,403,33,9 AM - 10 PM,no,77184
73772,Pediatrics,DEP-ph41,98,486,62,6 AM - 5 PM,no,10011
73147,ICU,DEP-MY69,91,344,38,11 AM - 6 PM,yes,84599
81057,Laboratory,DEP-yC38,101,190,2,10 AM - 10 PM,yes,99642
58028,ICU,DEP-Bt49,190,304,37,12 AM - 10 PM,yes,58838
74531,ICU,DEP-NV90,90,162,82,7 AM - 8 PM,no,8950
13006,Laboratory,DEP-qQ33,193,419,99,11 AM - 9 PM,yes,40685
10641,Laboratory,DEP-lJ23,24,371,83,6 AM - 6 PM,no,77867
9838,Cardiology,DEP-AC20,148,236,94,7 AM - 4 PM,no,24672
90357,Surgery,DEP-sc97,191,262,23,7 AM - 5 PM,no,93626
30340,Emergency,DEP-SD44,128,189,22,8 AM - 10 PM,no,68690
9329,Radiology,DEP-YY34,191,495,44,12 AM - 4 PM,no,88984
81927,Neurology,DEP-Bh93,36,436,29,12 AM - 9 PM,no,50667
71376,Emergency,DEP-rj32,93,96,51,6 AM - 6 PM,yes,45851
9359,Oncology,DEP-Yt02,94,394,96,11 AM - 6 PM,no,40577
77993,Laboratory,DEP-Ch94,95,105,87,7 AM - 7 PM,yes,87878
61433,ICU,DEP-rG46,143,217,79,7 AM - 9 PM,yes,25166
70776,Laboratory,DEP-fM77,118,408,39,11 AM - 7 PM,yes,70748
5224,Orthopedics,DEP-Mq65,11,69,39,9 AM - 4 PM,yes,17176
3390,Pediatrics,DEP-RK13,137,119,50,9 AM - 6 PM,no,94526
76955,ICU,DEP-Kc04,190,422,20,9 AM - 9 PM,yes,58841
99125,Oncology,DEP-HP27,157,258,36,6 AM - 9 PM,no,88907
57963,Pediatrics,DEP-LB42,113,277,31,12 AM - 6 PM,yes,65916
83202,Laboratory,DEP-Ew71,94,328,83,8 AM - 4 PM,no,6839
53523,Radiology,DEP-Qg55,48,112,59,6 AM - 9 PM,yes,37363
21079,Laboratory,DEP-SF56,163,355,3,6 AM - 10 PM,no,12021
37777,Pediatrics,DEP-cD68,32,452,73,7 AM - 4 PM,yes,6980
11542,ICU,DEP-uh54,55,466,30,8 AM - 10 PM,yes,3694
52976,ICU,DEP-QI80,0,191,19,7 AM - 8 PM,no,61925
60552,Orthopedics,DEP-mH60,28,388,4,7 AM - 4 PM,no,2490
47419,Pediatrics,DEP-OC97,150,215,3,7 AM - 6 PM,yes,39472
99613,Orthopedics,DEP-rJ03,189,265,68,6 AM - 9 PM,yes,70261
17172,Oncology,DEP-SF47,114,448,47,10 AM - 8 PM,yes,80584
15915,Oncology,DEP-Zp09,128,163,79,6 AM - 9 PM,no,8870
93032,Oncology,DEP-Ja24,164,65,8,9 AM - 10 PM,no,50709
72384,Dermatology,DEP-oh61,175,105,63,11 AM - 7 PM,yes,96068
60482,Neurology,DEP-FT12,82,361,19,6 AM - 5 PM,no,84252
38254,ICU,DEP-AE84,162,349,71,11 AM - 6 PM,no,23891
61894,ICU,DEP-Jj37,135,200,59,10 AM - 8 PM,no,26144
50277,Neurology,DEP-GV39,179,108,84,11 AM - 10 PM,yes,4799
17892,Dermatology,DEP-XY14,115,166,53,8 AM - 10 PM,no,16315
54387,Dermatology,DEP-ra58,106,423,13,8 AM - 7 PM,no,24486
37072,Laboratory,DEP-LQ49,65,241,20,11 AM - 7 PM,yes,78964
64178,Neurology,DEP-IE27,21,97,56,6 AM - 9 PM,no,38750
45236,Orthopedics,DEP-WI58,142,80,76,10 AM - 8 PM,no,58606
49441,Laboratory,DEP-mS75,31,260,46,12 AM - 9 PM,no,7518
31300,Pharmacy,DEP-oX96,13,197,77,8 AM - 6 PM,yes,79635
53841,ICU,DEP-VE05,129,158,20,11 AM - 7 PM,yes,47467
92435,Neurology,DEP-QY66,89,482,72,8 AM - 4 PM,no,58188
85461,ICU,DEP-ci27,57,463,55,12 AM - 8 PM,yes,3396
65836,ICU,DEP-gC95,168,474,89,8 AM - 4 PM,yes,34116
13069,Radiology,DEP-aU87,179,440,40,8 AM - 6 PM,yes,17790
18894,Orthopedics,DEP-eE62,36,339,85,9 AM - 4 PM,yes,41889
34737,Pharmacy,DEP-Sz59,162,65,12,11 AM - 8 PM,yes,66683
85175,Dermatology,DEP-RI15,107,282,44,7 AM - 6 PM,no,72616
49808,Pharmacy,DEP-Ic57,83,447,73,10 AM - 4 PM,yes,52187
80931,Orthopedics,DEP-OR13,40,436,80,6 AM - 9 PM,yes,16426
37667,Radiology,DEP-Bg31,113,388,55,9 AM - 8 PM,no,16821
99663,Dermatology,DEP-kS17,69,160,97,10 AM - 4 PM,no,7263
39251,Dermatology,DEP-uY00,28,195,87,11 AM - 8 PM,no,68012
7355,Emergency,DEP-xB45,170,207,6,7 AM - 7 PM,yes,81922
19080,Cardiology,DEP-AK38,52,204,28,12 AM - 5 PM,no,86341
89364,Radiology,DEP-lf22,83,111,1,9 AM - 9 PM,no,10646
79887,Orthopedics,DEP-Rp69,33,244,69,11 AM - 5 PM,no,83753
65230,Neurology,DEP-oD92,101,491,95,6 AM - 7 PM,yes,89783
83611,Oncology,DEP-qQ47,19,491,41,10 AM - 7 PM,no,26741
1231,Pharmacy,DEP-RI74,163,263,38,6 AM - 7 PM,yes,99701
20706,Surgery,DEP-wL17,43,460,80,9 AM - 10 PM,no,32495
39210,Neurology,DEP-Dt64,111,482,14,7 AM - 7 PM,no,20932
26111,Emergency,DEP-gp67,20,252,40,11 AM - 6 PM,yes,61186
49986,Surgery,DEP-Ks95,199,136,10,10 AM - 9 PM,yes,31552
91655,Emergency,DEP-Qz40,130,149,100,8 AM - 6 PM,yes,88148
35976,Pediatrics,DEP-RX09,26,124,33,7 AM - 5 PM,yes,47943
97605,Laboratory,DEP-VF09,19,140,99,11 AM - 7 PM,no,47516
37512,ICU,DEP-Zw39,194,346,58,11 AM - 8 PM,no,89181
28705,Laboratory,DEP-qR39,80,127,57,6 AM - 7 PM,no,73116
99035,Laboratory,DEP-OP21,77,457,36,10 AM - 4 PM,no,5938
5167,Emergency,DEP-cL47,18,208,60,9 AM - 4 PM,yes,67568
47823,Surgery,DEP-su21,73,89,83,12 AM - 10 PM,yes,44089
97973,ICU,DEP-mi62,152,309,50,9 AM - 8 PM,yes,2180
70701,Oncology,DEP-Gr58,146,383,25,8 AM - 8 PM,no,90183
21567,Emergency,DEP-Zs47,38,81,58,6 AM - 10 PM,no,94555
97853,Pharmacy,DEP-De51,21,308,83,7 AM - 4 PM,yes,4138
18449,Pharmacy,DEP-ZJ36,112,274,68,10 AM - 8 PM,yes,54127
47942,Surgery,DEP-aq16,95,194,50,9 AM - 10 PM,no,8163
70329,Laboratory,DEP-xR17,153,76,81,11 AM - 6 PM,yes,41124
98174,Surgery,DEP-yO49,24,335,87,9 AM - 6 PM,no,25200
48689,Pharmacy,DEP-Eb13,168,358,20,8 AM - 4 PM,yes,27168
81205,Surgery,DEP-No85,79,385,90,11 AM - 7 PM,yes,35842
84889,ICU,DEP-St17,181,93,40,10 AM - 7 PM,no,19198
85097,Orthopedics,DEP-ic61,171,409,95,11 AM - 8 PM,yes,97955
4877,Laboratory,DEP-hg47,171,266,66,8 AM - 4 PM,no,80698
30775,Radiology,DEP-yD82,46,159,44,12 AM - 7 PM,yes,30518
48629,Pediatrics,DEP-LV86,35,129,10,8 AM - 10 PM,yes,679
95236,Emergency,DEP-Pg26,197,326,95,10 AM - 4 PM,no,62580
64139,ICU,DEP-rc96,33,355,49,7 AM - 5 PM,yes,75252
90476,Pharmacy,DEP-CC53,197,369,22,11 AM - 7 PM,yes,4763
30947,Dermatology,DEP-Rx51,93,396,93,7 AM - 7 PM,no,4910
71364,Pharmacy,DEP-zr50,200,279,30,10 AM - 5 PM,no,84058
24878,Oncology,DEP-fQ17,49,238,87,10 AM - 7 PM,no,14764
27801,Radiology,DEP-dY90,199,245,65,10 AM - 7 PM,yes,74420
43713,Pediatrics,DEP-YK32,154,120,33,6 AM - 9 PM,no,11368
26896,Surgery,DEP-nL18,141,102,92,12 AM - 8 PM,yes,34181
28305,Radiology,DEP-Xj35,21,440,21,8 AM - 7 PM,yes,75088
78116,Dermatology,DEP-ji04,23,163,58,8 AM - 4 PM,no,20934
70807,Cardiology,DEP-hQ42,101,307,48,7 AM - 7 PM,yes,28947
3379,Surgery,DEP-wY20,57,64,41,6 AM - 10 PM,no,54505
31186,Orthopedics,DEP-bl95,35,69,37,12 AM - 7 PM,yes,10730
34782,Pharmacy,DEP-VA02,120,279,79,6 AM - 4 PM,yes,71781
68955,Radiology,DEP-EC11,55,477,20,10 AM - 9 PM,no,15235
47453,Neurology,DEP-gC89,198,197,31,8 AM - 4 PM,yes,7292
66039,Pediatrics,DEP-cU39,107,377,80,9 AM - 4 PM,yes,88181
86363,Oncology,DEP-DP84,152,324,3,11 AM - 8 PM,yes,28560
4082,Pharmacy,DEP-zB07,36,199,55,6 AM - 8 PM,no,61875
89928,Pediatrics,DEP-TC17,146,263,24,11 AM - 9 PM,yes,55097
9632,Emergency,DEP-Mj15,92,84,68,10 AM - 8 PM,yes,10518
8609,Dermatology,DEP-NO24,120,72,82,9 AM - 6 PM,no,70419
76724,Pharmacy,DEP-yM85,4,232,9,8 AM - 5 PM,yes,60686
69541,ICU,DEP-GM47,188,437,43,7 AM - 4 PM,no,45371
56387,Emergency,DEP-PP11,86,466,83,7 AM - 10 PM,no,2050
72264,Pharmacy,DEP-Co36,122,373,24,12 AM - 5 PM,yes,32077
54239,Pharmacy,DEP-zA57,198,284,5,8 AM - 5 PM,yes,18367
95631,Pediatrics,DEP-Bu15,10,211,40,10 AM - 7 PM,no,18777
87177,Radiology,DEP-jR45,9,435,83,7 AM - 6 PM,no,77550
62163,Cardiology,DEP-ff11,167,219,35,6 AM - 10 PM,no,84320
56606,Dermatology,DEP-Zi15,102,430,57,9 AM - 6 PM,yes,49343
72924,Oncology,DEP-JJ09,177,304,48,12 AM - 8 PM,no,18920
43207,Neurology,DEP-wQ16,186,267,11,9 AM - 8 PM,yes,17575
98341,Emergency,DEP-sM60,75,214,14,6 AM - 6 PM,no,70206
40953,Radiology,DEP-KG51,114,358,92,9 AM - 5 PM,no,9539
27884,Surgery,DEP-og27,114,71,94,12 AM - 6 PM,no,39739
45890,Radiology,DEP-hW85,163,455,8,6 AM - 9 PM,no,31797
36512,Surgery,DEP-ZB93,131,460,96,11 AM - 5 PM,yes,37101
73526,Orthopedics,DEP-RP99,155,397,57,6 AM - 5 PM,yes,61080
72972,Pediatrics,DEP-QS09,199,380,47,8 AM - 7 PM,yes,48589
35054,ICU,DEP-rS02,39,397,58,8 AM - 6 PM,no,76550
99930,Neurology,DEP-wa45,146,120,68,8 AM - 7 PM,no,32208
23777,Laboratory,DEP-Qz29,71,177,15,6 AM - 9 PM,yes,22050
9120,Oncology,DEP-fV20,132,248,72,6 AM - 6 PM,no,84123
69531,Pharmacy,DEP-AD36,114,159,79,8 AM - 9 PM,no,54053
44681,Pediatrics,DEP-tU25,31,119,10,9 AM - 5 PM,no,59770
42517,Neurology,DEP-fd99,174,482,41,11 AM - 6 PM,yes,69758
20392,Emergency,DEP-dR29,138,198,39,12 AM - 5 PM,yes,91469
10693,Surgery,DEP-QB47,130,164,16,7 AM - 10 PM,yes,31584
63656,Pediatrics,DEP-Ar97,126,63,47,10 AM - 8 PM,no,53218
28255,Oncology,DEP-wB81,141,116,79,6 AM - 4 PM,no,85686
14534,Dermatology,DEP-FH49,183,418,62,10 AM - 7 PM,no,62390
87442,ICU,DEP-oz40,18,114,41,11 AM - 4 PM,no,43420
78554,Oncology,DEP-nt00,174,314,45,7 AM - 10 PM,yes,27710
27686,Orthopedics,DEP-su24,110,307,8,12 AM - 4 PM,yes,36749
15726,Radiology,DEP-VB07,42,132,42,11 AM - 5 PM,no,27152
23028,Emergency,DEP-IT26,72,483,11,8 AM - 5 PM,no,73919
30161,Orthopedics,DEP-QZ88,160,205,79,10 AM - 4 PM,yes,50311
46421,ICU,DEP-Vc16,148,128,22,11 AM - 8 PM,no,12803
57176,ICU,DEP-eu07,10,472,4,6 AM - 4 PM,no,42778
75465,Laboratory,DEP-zT69,53,442,74,9 AM - 8 PM,yes,49207
83904,Oncology,DEP-hz64,160,329,38,11 AM - 6 PM,no,32302
2733,Pediatrics,DEP-ZN52,175,257,39,9 AM - 4 PM,yes,96948
60305,Orthopedics,DEP-Bg51,112,262,62,9 AM - 5 PM,no,99791
31891,ICU,DEP-zH69,36,210,92,8 AM - 9 PM,no,53483
10308,Dermatology,DEP-Vv64,33,439,48,10 AM - 8 PM,yes,1617
29041,Surgery,DEP-eG52,61,288,16,8 AM - 7 PM,yes,74967
82998,Orthopedics,DEP-Gm18,24,75,38,9 AM - 10 PM,no,19127
