equipment_name,department_id
Ultrasound,62163
Defibrillator,56606
MRI Scanner,72924
X-Ray Machine,43207
Defibrillator,98341
MRI Scanner,40953
Defibrillator,27884
ECG Monitor,45890
Infusion Pump,36512
ECG Monitor,73526
Defibrillator,72972
Patient Monitor,35054
Patient Monitor,99930
Dialysis Machine,23777
Anesthesia Machine,9120
Patient Monitor,69531
Infusion Pump,44681
X-Ray Machine,42517
Ultrasound,20392
ECG Monitor,10693
Ultrasound,63656
MRI Scanner,28255
Surgical Light,14534
Patient Monitor,87442
Dialysis Machine,78554
MRI Scanner,27686
Patient Monitor,15726
Ventilator,23028
MRI Scanner,30161
MRI Scanner,46421
Surgical Light,57176
Infusion Pump,75465
Dialysis Machine,83904
Dialysis Machine,2733
X-Ray Machine,60305
MRI Scanner,31891
Dialysis Machine,10308
CT Scanner,29041
X-Ray Machine,82998
CT Scanner,45793
Surgical Light,19194
CT Scanner,20036
Anesthesia Machine,64764
Ultrasound,58838
Defibrillator,41436
CT Scanner,57961
Surgical Light,46129
Ultrasound,59233
Surgical Light,10057
Surgical Light,50394
MRI Scanner,96851
Surgical Light,85437
CT Scanner,65715
Defibrillator,45015
Anesthesia Machine,5130
Surgical Light,68517
Surgical Light,37079
Dialysis Machine,88984
Ventilator,84843
ECG Monitor,73133
Ultrasound,86057
Anesthesia Machine,76380
Patient Monitor,91551
Ventilator,11104
Ultrasound,43054
ECG Monitor,87878
Defibrillator,47526
X-Ray Machine,63736
Anesthesia Machine,10114
Anesthesia Machine,70748
ECG Monitor,81006
Infusion Pump,21266
Ventilator,94526
CT Scanner,88652
MRI Scanner,98617
Infusion Pump,40562
Surgical Light,74766
Surgical Light,50052
CT Scanner,26174
CT Scanner,84040
Dialysis Machine,93244
Ultrasound,21012
Dialysis Machine,57340
ECG Monitor,3495
X-Ray Machine,49015
Ventilator,29430
CT Scanner,85191
Ultrasound,37601
Ventilator,61487
ECG Monitor,2490
X-Ray Machine,95320
Infusion Pump,37762
Dialysis Machine,31252
Patient Monitor,14530
ECG Monitor,82831
Surgical Light,18818
Anesthesia Machine,46244
Dialysis Machine,87080
MRI Scanner,68951
Anesthesia Machine,72633
Dialysis Machine,83318
ECG Monitor,2128
Anesthesia Machine,96068
CT Scanner,43583
X-Ray Machine,44374
ECG Monitor,82802
CT Scanner,59988
CT Scanner,26144
Patient Monitor,52196
Dialysis Machine,98735
X-Ray Machine,6265
ECG Monitor,48237
ECG Monitor,50678
Surgical Light,65211
Ultrasound,10828
Patient Monitor,23652
Ventilator,10494
Ultrasound,78986
Anesthesia Machine,46077
Anesthesia Machine,80589
ECG Monitor,7518
Dialysis Machine,98290
Infusion Pump,88878
ECG Monitor,30932
MRI Scanner,4244
CT Scanner,48623
Anesthesia Machine,75225
Defibrillator,41207
ECG Monitor,96426
MRI Scanner,73619
MRI Scanner,92279
Ventilator,90961
X-Ray Machine,9706
Anesthesia Machine,11506
ECG Monitor,72089
X-Ray Machine,93298
Patient Monitor,15907
Infusion Pump,64752
Dialysis Machine,48353
Patient Monitor,11300
Defibrillator,94223
Dialysis Machine,53665
MRI Scanner,84192
CT Scanner,67811
CT Scanner,83859
Patient Monitor,56704
X-Ray Machine,20056
Dialysis Machine,92973
MRI Scanner,10336
Ventilator,35972
Surgical Light,12245
Dialysis Machine,20210
X-Ray Machine,44252
Defibrillator,5958
X-Ray Machine,74991
MRI Scanner,65278
ECG Monitor,63300
Ventilator,9564
MRI Scanner,63471
Ventilator,18830
Ultrasound,52260
Anesthesia Machine,13917
Ultrasound,35058
Anesthesia Machine,6632
CT Scanner,32541
Ventilator,40988
Dialysis Machine,61186
Defibrillator,11802
Surgical Light,28199
Patient Monitor,36877
X-Ray Machine,61680
Ultrasound,56482
X-Ray Machine,52855
X-Ray Machine,74747
Defibrillator,37827
MRI Scanner,72070
X-Ray Machine,15572
Patient Monitor,44444
Ventilator,26090
Defibrillator,5276
Anesthesia Machine,43652
Patient Monitor,79463
Ultrasound,41750
ECG Monitor,39221
X-Ray Machine,69774
Patient Monitor,2180
CT Scanner,54596
Defibrillator,90183
MRI Scanner,85929
Infusion Pump,6731
Ultrasound,82447
Ultrasound,31745
Infusion Pump,25006
Ventilator,19848
ECG Monitor,80147
Ultrasound,67984
Ultrasound,62701
MRI Scanner,60249
Anesthesia Machine,88587
Ultrasound,32311
Defibrillator,39008
Ventilator,64094
ECG Monitor,94589
CT Scanner,88686
ECG Monitor,19198
Ventilator,10358
Anesthesia Machine,97955
Dialysis Machine,35537
Defibrillator,80698
Anesthesia Machine,87796
Dialysis Machine,6880
Ventilator,61918
MRI Scanner,20701
CT Scanner,26143
ECG Monitor,7754
X-Ray Machine,96821
Surgical Light,4763
ECG Monitor,37941
MRI Scanner,79007
CT Scanner,84058
Surgical Light,66088
Defibrillator,14764
Ventilator,84972
Patient Monitor,44185
Ventilator,25318
Defibrillator,56059
Surgical Light,87720
Dialysis Machine,42415
CT Scanner,30870
Defibrillator,76344
Surgical Light,47127
Ultrasound,61000
ECG Monitor,65866
MRI Scanner,48174
Patient Monitor,62676
Defibrillator,48971
MRI Scanner,70453
Dialysis Machine,78094
Dialysis Machine,92244
Anesthesia Machine,8094
Patient Monitor,70341
Patient Monitor,57912
Patient Monitor,64071
Anesthesia Machine,7292
Ultrasound,59873
Ventilator,88181
Defibrillator,395
CT Scanner,55534
Anesthesia Machine,9046
Ventilator,23590
Surgical Light,58790
Ventilator,86742
Anesthesia Machine,15549
CT Scanner,16691
Patient Monitor,39107
ECG Monitor,49712
Dialysis Machine,20332
ECG Monitor,14790
Anesthesia Machine,2050
Defibrillator,77849
Ventilator,92181
Defibrillator,52725
Patient Monitor,98878
ECG Monitor,30692
Dialysis Machine,88150
X-Ray Machine,86535
Ultrasound,36064
Defibrillator,22955
Anesthesia Machine,45143
Defibrillator,54568
Anesthesia Machine,24101
Patient Monitor,39418
X-Ray Machine,54090
Surgical Light,50910
Surgical Light,84765
ECG Monitor,70206
Defibrillator,88299
Dialysis Machine,24662
MRI Scanner,27379
ECG Monitor,24906
ECG Monitor,79220
Ultrasound,42154
Defibrillator,85029
Surgical Light,67215
Surgical Light,94688
Anesthesia Machine,41015
Ventilator,97157
Infusion Pump,76550
Infusion Pump,25715
Infusion Pump,32208
Anesthesia Machine,44245
Ultrasound,96940
Dialysis Machine,46160
Infusion Pump,64004
Patient Monitor,68674
X-Ray Machine,836
Anesthesia Machine,8908
CT Scanner,59770
ECG Monitor,87392
Dialysis Machine,2061
Anesthesia Machine,1553
Anesthesia Machine,70220
Surgical Light,88346
Ventilator,68732
CT Scanner,69003
Ultrasound,52022
Anesthesia Machine,74055
ECG Monitor,10566
Ultrasound,49436
Ultrasound,1238
X-Ray Machine,84529
MRI Scanner,5577
MRI Scanner,62324
Ultrasound,36749
Infusion Pump,23508
Surgical Light,18899
CT Scanner,73919
Infusion Pump,70852
Defibrillator,18343
Anesthesia Machine,7038
Surgical Light,44642
Ultrasound,42778
Patient Monitor,64304
Patient Monitor,56603
Defibrillator,11232
Infusion Pump,93468
Defibrillator,49807
Ultrasound,13965
X-Ray Machine,47175
Anesthesia Machine,24561
Patient Monitor,67166
MRI Scanner,46388
CT Scanner,42523
Defibrillator,50829
Ultrasound,68302
X-Ray Machine,35247
Patient Monitor,8292
Dialysis Machine,39289
Infusion Pump,32321
MRI Scanner,60012
Dialysis Machine,51864
Ultrasound,43193
CT Scanner,77908
Infusion Pump,91133
X-Ray Machine,52198
Infusion Pump,82955
Anesthesia Machine,42714
Dialysis Machine,47843
Dialysis Machine,71516
Surgical Light,60505
Ventilator,90811
Infusion Pump,18242
Surgical Light,20203
Patient Monitor,78372
Dialysis Machine,66402
Defibrillator,47124
Dialysis Machine,14335
Infusion Pump,80304
X-Ray Machine,84769
Patient Monitor,13886
Infusion Pump,66935
Infusion Pump,75397
ECG Monitor,60694
Ultrasound,3219
Anesthesia Machine,11253
ECG Monitor,44966
Dialysis Machine,45652
Infusion Pump,91326
Anesthesia Machine,5856
Ultrasound,14334
ECG Monitor,72339
Infusion Pump,60562
CT Scanner,24430
Patient Monitor,80492
ECG Monitor,50965
Ultrasound,98608
ECG Monitor,70371
Ventilator,59972
Ventilator,69168
Dialysis Machine,51451
CT Scanner,80918
X-Ray Machine,11108
X-Ray Machine,40026
Ultrasound,18528
Defibrillator,18070
Patient Monitor,63788
X-Ray Machine,37858
Patient Monitor,81187
Ultrasound,17895
CT Scanner,85599
Defibrillator,54477
Defibrillator,74107
Ventilator,36025
Dialysis Machine,59942
Infusion Pump,14838
Defibrillator,71186
MRI Scanner,99615
Ultrasound,13423
Defibrillator,34447
Defibrillator,31056
Surgical Light,93159
Patient Monitor,18249
MRI Scanner,74720
Surgical Light,70617
Defibrillator,37923
Infusion Pump,12481
MRI Scanner,85969
Ventilator,93243
ECG Monitor,51472
Defibrillator,35221
Defibrillator,83050
Dialysis Machine,36467
Patient Monitor,76278
Patient Monitor,83209
Dialysis Machine,52129
Surgical Light,35197
Ultrasound,75750
Infusion Pump,45054
Ultrasound,60238
ECG Monitor,59836
Defibrillator,17290
Infusion Pump,85798
MRI Scanner,87098
Defibrillator,40043
Ventilator,92235
Anesthesia Machine,10215
Anesthesia Machine,89126
Defibrillator,45032
Patient Monitor,62613
X-Ray Machine,95782
Infusion Pump,39223
X-Ray Machine,17451
Surgical Light,1110
Dialysis Machine,94690
MRI Scanner,89989
Defibrillator,18351
Surgical Light,46076
Surgical Light,32477
Anesthesia Machine,78774
MRI Scanner,90502
CT Scanner,79551
Anesthesia Machine,38737
Defibrillator,14777
X-Ray Machine,9307
Infusion Pump,17299
X-Ray Machine,71612
MRI Scanner,2187
ECG Monitor,28277
Defibrillator,37550
Ventilator,52727
Ultrasound,20012
Infusion Pump,67017
Ventilator,51213
Ventilator,57342
Defibrillator,56948
ECG Monitor,7212
Defibrillator,92785
ECG Monitor,45443
CT Scanner,33980
Infusion Pump,35227
MRI Scanner,56272
Patient Monitor,93365
Dialysis Machine,66949
MRI Scanner,21873
Ventilator,13487
Ultrasound,66692
Anesthesia Machine,6026
CT Scanner,23456
Anesthesia Machine,97080
MRI Scanner,54559
MRI Scanner,48864
Ultrasound,23507
Ultrasound,9034
MRI Scanner,42899
Surgical Light,48354
X-Ray Machine,39834
Ultrasound,77554
X-Ray Machine,99677
Infusion Pump,3133
Anesthesia Machine,90893
CT Scanner,86154
Surgical Light,69443
Ultrasound,18661
Infusion Pump,68125
Patient Monitor,11128
ECG Monitor,83521
Ventilator,8163
X-Ray Machine,34208
Surgical Light,42762
Surgical Light,9789
Patient Monitor,76638
Patient Monitor,58925
CT Scanner,70244
X-Ray Machine,60731
ECG Monitor,89922
CT Scanner,42964
Surgical Light,46627
MRI Scanner,39169
ECG Monitor,59270
Surgical Light,60560
Anesthesia Machine,8083
Defibrillator,48790
Defibrillator,9828
Patient Monitor,58121
Ultrasound,16059
CT Scanner,75220
Surgical Light,50165
Patient Monitor,24530
Anesthesia Machine,4541
Ultrasound,84840
CT Scanner,62787
Patient Monitor,17987
ECG Monitor,68919
Anesthesia Machine,50134
Surgical Light,63527
CT Scanner,50905
Surgical Light,78265
MRI Scanner,36822
Ventilator,76544
Dialysis Machine,86096
Defibrillator,96607
Anesthesia Machine,50911
Ventilator,77662
CT Scanner,92202
Dialysis Machine,73807
Anesthesia Machine,23010
Ventilator,30490
MRI Scanner,62650
Defibrillator,17103
Infusion Pump,7806
CT Scanner,18566
Defibrillator,44113
Ventilator,95990
Anesthesia Machine,22833
Infusion Pump,29260
Patient Monitor,96206
X-Ray Machine,235
Defibrillator,23865
X-Ray Machine,28953
Patient Monitor,43406
Dialysis Machine,22005
Anesthesia Machine,34761
ECG Monitor,45938
Surgical Light,6310
Dialysis Machine,21802
Infusion Pump,71568
Infusion Pump,75766
Defibrillator,4379
Patient Monitor,13726
Surgical Light,21090
ECG Monitor,77860
Ventilator,56534
Ultrasound,7019
CT Scanner,53645
ECG Monitor,36899
Infusion Pump,51498
Ultrasound,7144
Infusion Pump,38607
Surgical Light,3373
Surgical Light,10739
Anesthesia Machine,52096
Defibrillator,11945
Ventilator,49996
MRI Scanner,34510
Infusion Pump,35200
Ventilator,91287
X-Ray Machine,70968
Infusion Pump,7993
Ultrasound,90055
Ventilator,39171
ECG Monitor,65811
Ventilator,88805
ECG Monitor,58856
Surgical Light,25260
Patient Monitor,89538
ECG Monitor,77994
Dialysis Machine,8783
MRI Scanner,72358
Dialysis Machine,1620
Ultrasound,54997
CT Scanner,74264
Ultrasound,13845
Patient Monitor,45071
Defibrillator,63646
Infusion Pump,22570
Dialysis Machine,79777
Ultrasound,90507
Patient Monitor,35203
Infusion Pump,39722
Anesthesia Machine,89764
Patient Monitor,97481
Infusion Pump,54627
Infusion Pump,27707
MRI Scanner,49009
CT Scanner,8600
ECG Monitor,68719
Ultrasound,26309
Defibrillator,6626
Patient Monitor,60846
Ultrasound,89282
ECG Monitor,77862
Anesthesia Machine,45843
Surgical Light,90289
Ventilator,6507
Infusion Pump,29012
Dialysis Machine,53674
Dialysis Machine,89417
Ventilator,22701
Defibrillator,79736
Patient Monitor,45706
Dialysis Machine,39602
Ventilator,13410
Ventilator,73591
Patient Monitor,89707
Infusion Pump,36239
ECG Monitor,93204
ECG Monitor,31496
ECG Monitor,41888
Ultrasound,38745
CT Scanner,96564
Patient Monitor,24892
Ultrasound,83665
Ventilator,22280
CT Scanner,61706
Patient Monitor,73273
Dialysis Machine,29131
Patient Monitor,55112
X-Ray Machine,38541
Ultrasound,83151
Ultrasound,25499
Patient Monitor,69446
Infusion Pump,18004
ECG Monitor,59974
Patient Monitor,10592
Surgical Light,41079
Dialysis Machine,27444
Surgical Light,64169
ECG Monitor,83032
CT Scanner,50242
Ultrasound,95768
ECG Monitor,69603
Ultrasound,82141
Ventilator,40906
X-Ray Machine,77158
ECG Monitor,39085
MRI Scanner,78167
Patient Monitor,17536
Dialysis Machine,24697
X-Ray Machine,29402
ECG Monitor,77292
MRI Scanner,93206
MRI Scanner,70088
Dialysis Machine,86765
ECG Monitor,15176
Patient Monitor,71733
X-Ray Machine,26934
Anesthesia Machine,13235
Infusion Pump,91845
CT Scanner,94210
MRI Scanner,13928
Surgical Light,34471
ECG Monitor,53707
Infusion Pump,65058
Infusion Pump,358
Infusion Pump,87690
Ventilator,67070
X-Ray Machine,30298
MRI Scanner,6564
ECG Monitor,47214
Infusion Pump,12451
CT Scanner,84829
CT Scanner,81501
Defibrillator,23969
Infusion Pump,35629
CT Scanner,85045
Surgical Light,95212
Anesthesia Machine,77430
Anesthesia Machine,23758
MRI Scanner,80131
X-Ray Machine,14802
X-Ray Machine,34290
Surgical Light,68788
ECG Monitor,44341
CT Scanner,81033
Ultrasound,32581
CT Scanner,84070
Dialysis Machine,7152
Defibrillator,64990
Surgical Light,42026
Surgical Light,66444
Surgical Light,52858
Ultrasound,75108
Dialysis Machine,41426
Defibrillator,2329
Infusion Pump,73024
Infusion Pump,79194
ECG Monitor,27112
Surgical Light,29218
Defibrillator,81232
ECG Monitor,47617
Surgical Light,86364
Surgical Light,83055
MRI Scanner,92025
Surgical Light,18408
Patient Monitor,25679
CT Scanner,59905
Ultrasound,54325
Anesthesia Machine,59048
Ultrasound,65382
ECG Monitor,56729
Anesthesia Machine,23226
CT Scanner,13573
X-Ray Machine,66074
Ultrasound,99925
X-Ray Machine,38557
Dialysis Machine,78974
CT Scanner,41144
X-Ray Machine,81810
MRI Scanner,93113
Defibrillator,83476
Infusion Pump,73699
Patient Monitor,93077
Surgical Light,1673
Infusion Pump,19048
ECG Monitor,98328
MRI Scanner,19192
Ultrasound,70932
ECG Monitor,80754
Patient Monitor,73566
ECG Monitor,91242
Patient Monitor,54600
Infusion Pump,97474
CT Scanner,58073
Anesthesia Machine,71645
Ultrasound,25362
ECG Monitor,9760
Anesthesia Machine,15643
Surgical Light,72954
Anesthesia Machine,33425
Ultrasound,20290
Defibrillator,6665
CT Scanner,75061
Dialysis Machine,92757
Ultrasound,68236
Anesthesia Machine,71182
X-Ray Machine,28992
ECG Monitor,38479
X-Ray Machine,73575
CT Scanner,58414
MRI Scanner,5226
X-Ray Machine,50577
ECG Monitor,3238
Surgical Light,66680
Patient Monitor,85397
Surgical Light,12577
ECG Monitor,82173
Infusion Pump,27941
CT Scanner,92109
Infusion Pump,20152
Patient Monitor,4965
ECG Monitor,33018
Patient Monitor,33901
Defibrillator,53011
ECG Monitor,88250
Dialysis Machine,94409
Dialysis Machine,76756
Infusion Pump,13911
Infusion Pump,57367
CT Scanner,62126
Surgical Light,97878
MRI Scanner,18884
Defibrillator,72754
Patient Monitor,75067
Ventilator,11157
Surgical Light,95150
ECG Monitor,67181
MRI Scanner,80856
CT Scanner,87946
Ultrasound,60458
Anesthesia Machine,8829
Surgical Light,76099
Surgical Light,87988
MRI Scanner,9149
Anesthesia Machine,43036
ECG Monitor,19974
Surgical Light,41462
MRI Scanner,32266
X-Ray Machine,17603
Infusion Pump,47020
Dialysis Machine,23038
Anesthesia Machine,70597
Infusion Pump,10022
ECG Monitor,4088
X-Ray Machine,77337
Surgical Light,71233
Defibrillator,19481
Anesthesia Machine,77280
Infusion Pump,66900
CT Scanner,89674
Infusion Pump,20869
Ventilator,19162
Defibrillator,99807
Ventilator,48422
Ventilator,67880
Anesthesia Machine,6086
CT Scanner,75842
X-Ray Machine,85678
Ventilator,10202
Defibrillator,67681
Patient Monitor,63191
Infusion Pump,57658
ECG Monitor,84341
Anesthesia Machine,20625
Defibrillator,86652
Dialysis Machine,94405
MRI Scanner,62786
Infusion Pump,53857
CT Scanner,75168
Ventilator,67193
ECG Monitor,33850
Ventilator,73872
CT Scanner,58877
Defibrillator,28752
Dialysis Machine,76368
MRI Scanner,34671
Anesthesia Machine,77410
Dialysis Machine,17329
Infusion Pump,66107
Defibrillator,23255
MRI Scanner,69655
Ultrasound,86427
Dialysis Machine,88940
Ventilator,5693
Surgical Light,63192
Infusion Pump,97175
Anesthesia Machine,33360
Infusion Pump,78419
MRI Scanner,716
Ultrasound,68126
ECG Monitor,90146
Dialysis Machine,20287
X-Ray Machine,70268
ECG Monitor,36118
Infusion Pump,73080
Patient Monitor,72733
Infusion Pump,45135
CT Scanner,98017
MRI Scanner,21206
Anesthesia Machine,44359
Surgical Light,92640
Ultrasound,693
Patient Monitor,57065
X-Ray Machine,48606
ECG Monitor,50374
Dialysis Machine,37548
MRI Scanner,83924
Dialysis Machine,86099
Defibrillator,78579
CT Scanner,80634
Ultrasound,85854
CT Scanner,52354
Infusion Pump,26255
CT Scanner,11818
Anesthesia Machine,76406
X-Ray Machine,79477
Infusion Pump,609
Patient Monitor,13954
ECG Monitor,44560
Dialysis Machine,75352
Patient Monitor,63390
ECG Monitor,89337
Defibrillator,15239
Infusion Pump,28885
Infusion Pump,67699
Ultrasound,32539
Infusion Pump,98145
Dialysis Machine,62463
X-Ray Machine,35268
Defibrillator,26170
Ultrasound,30042
Surgical Light,20446
Dialysis Machine,86956
Patient Monitor,70972
X-Ray Machine,41342
CT Scanner,66995
ECG Monitor,75584
Defibrillator,55466
Ventilator,45519
Dialysis Machine,91520
ECG Monitor,1103
MRI Scanner,13205
ECG Monitor,71901
Patient Monitor,80358
ECG Monitor,55567
Surgical Light,48799
Surgical Light,23578
Anesthesia Machine,29958
Infusion Pump,72789
X-Ray Machine,96802
Infusion Pump,23148
Dialysis Machine,67765
Infusion Pump,39326
Ventilator,52219
Ventilator,33330
Dialysis Machine,43864
Dialysis Machine,73071
Defibrillator,15890
Infusion Pump,75483
Ventilator,46544
Ultrasound,96537
Patient Monitor,37555
Ultrasound,44222
Surgical Light,9351
Defibrillator,41088
Ultrasound,79349
Defibrillator,47600
MRI Scanner,21930
Ventilator,30753
Patient Monitor,52041
Infusion Pump,71884
Patient Monitor,68679
Defibrillator,20352
Defibrillator,32426
Anesthesia Machine,17206
Anesthesia Machine,86972
X-Ray Machine,35705
Infusion Pump,70685
MRI Scanner,82712
X-Ray Machine,83824
Dialysis Machine,70735
Surgical Light,47943
Ventilator,1383
CT Scanner,45073
Infusion Pump,90147
CT Scanner,56418
Dialysis Machine,946
Infusion Pump,73472
MRI Scanner,93708
Patient Monitor,10382
X-Ray Machine,80375
Defibrillator,69722
Anesthesia Machine,23908
X-Ray Machine,59682
CT Scanner,81625
Infusion Pump,19942
ECG Monitor,13405
Ventilator,57464
Surgical Light,1930
Patient Monitor,40838
Defibrillator,4159
Anesthesia Machine,7345
CT Scanner,61623
Ventilator,1653
Anesthesia Machine,58059
Dialysis Machine,96380
Defibrillator,61974
Ventilator,82465
Anesthesia Machine,33202
Patient Monitor,6827
Infusion Pump,56906
Dialysis Machine,36188
MRI Scanner,31862
Surgical Light,90538
CT Scanner,11728
Ultrasound,89908
Anesthesia Machine,7871
Anesthesia Machine,91924
ECG Monitor,30497
Ultrasound,99181
Patient Monitor,2798
CT Scanner,32859
Defibrillator,73272
CT Scanner,24874
Anesthesia Machine,42425
Patient Monitor,21016
CT Scanner,38754
