workload_hours_week,doctor_id,department_id
50,42284,92973
37,41586,10336
27,40215,35972
12,51327,12245
10,28953,20210
31,31194,44252
59,44007,5958
18,94426,74991
50,49638,65278
26,99384,63300
20,41774,9564
57,9830,63471
38,92340,18830
45,13272,52260
55,70795,13917
37,64349,35058
45,78671,6632
10,62071,32541
17,11945,40988
14,5848,61186
54,98596,11802
19,72561,28199
44,75066,36877
12,65811,61680
33,21910,56482
47,57067,52855
45,8783,74747
19,91804,37827
37,74264,72070
18,37498,15572
12,74976,44444
29,90919,26090
33,48816,5276
60,17614,43652
12,11703,79463
32,49009,41750
23,17779,39221
53,7553,69774
25,66207,2180
52,23276,54596
16,3597,90183
32,27096,85929
59,1166,6731
45,79736,82447
36,33029,31745
49,86816,25006
57,44077,19848
19,67802,80147
25,94540,67984
20,96564,62701
21,70075,60249
36,38506,88587
11,43992,32311
21,48717,39008
57,76062,64094
31,69446,94589
60,74632,88686
36,63908,19198
52,27444,10358
57,16961,97955
25,611,35537
27,2348,80698
20,16899,87796
60,59759,6880
54,47087,61918
16,17197,20701
34,49177,26143
12,85664,7754
40,33126,96821
24,68197,4763
22,94210,37941
39,68569,79007
32,65058,84058
29,88032,66088
60,9836,14764
24,60853,84972
24,40987,44185
11,22349,25318
52,23969,56059
22,62684,87720
35,20892,42415
31,23758,30870
27,17125,76344
14,85848,47127
59,68039,61000
27,45318,65866
32,7152,48174
51,98491,62676
42,49628,48971
35,11536,70453
53,13453,78094
44,83563,92244
31,47624,8094
11,78636,70341
17,29064,57912
26,21516,64071
21,24581,7292
47,44293,59873
26,77242,88181
12,72512,395
16,90677,55534
48,42184,9046
37,59355,23590
32,96576,58790
56,45258,86742
60,93107,15549
30,54719,16691
37,13955,39107
48,37567,49712
42,4234,20332
17,66967,14790
34,54600,2050
46,32943,77849
22,93001,92181
26,58827,52725
12,49440,98878
55,43327,30692
37,81968,88150
10,9552,86535
43,20889,36064
44,43500,22955
53,1153,45143
56,31958,54568
57,70809,24101
57,5747,39418
52,69888,54090
22,26945,50910
33,89921,84765
37,33018,70206
14,82603,88299
52,84072,24662
31,13911,27379
49,51788,24906
30,71529,79220
52,72754,42154
17,27532,85029
56,24116,67215
29,7128,94688
42,88039,41015
29,87988,97157
52,43036,76550
36,56139,25715
30,47118,32208
35,63828,44245
54,70597,96940
28,82788,46160
45,72298,64004
18,51445,68674
22,52007,836
36,89674,8908
52,86430,59770
34,99807,87392
53,50868,2061
57,92240,1553
21,74732,70220
49,49326,88346
46,63191,68732
29,84341,69003
35,86652,52022
45,77436,74055
10,21119,10566
29,67717,49436
28,11239,1238
23,53840,84529
37,94920,5577
60,2170,62324
47,23255,36749
48,12214,23508
51,56557,18899
30,49969,73919
39,10986,70852
38,97471,18343
38,90146,7038
53,34249,44642
23,72365,42778
42,75713,64304
40,30116,56603
60,72165,11232
60,11939,93468
57,48606,49807
20,86006,13965
52,64797,47175
15,91547,24561
28,11382,67166
42,67861,46388
52,76406,42523
50,75354,50829
49,15336,68302
31,31886,35247
15,63172,8292
58,54057,39289
25,12190,32321
53,46338,60012
29,65404,51864
24,32728,43193
22,64574,77908
19,64532,91133
11,29110,52198
12,65860,82955
25,60302,42714
40,80318,47843
49,47962,71516
59,52506,60505
14,94478,90811
39,96802,18242
36,67765,20203
50,6253,78372
46,12622,66402
22,2599,47124
55,22877,14335
54,49947,80304
34,55288,84769
41,41533,13886
35,98028,66935
25,95390,75397
19,8361,60694
51,13622,3219
54,37247,11253
10,62410,44966
58,77441,45652
59,40587,91326
16,54028,5856
59,45073,14334
37,1197,72339
24,53967,60562
21,49592,24430
54,90954,80492
43,37957,50965
39,24613,98608
13,16389,70371
45,44815,59972
25,4159,69168
17,71197,51451
39,32631,80918
18,96380,11108
39,42344,40026
52,47241,18528
43,42534,18070
45,76162,63788
48,65525,37858
30,70300,81187
58,99181,17895
38,17659,85599
49,64237,54477
56,72682,74107
42,48118,36025
37,47720,59942
45,24886,14838
38,42208,71186
20,4099,99615
57,86235,13423
40,9289,34447
38,83744,31056
26,7641,93159
58,28298,18249
25,86098,74720
50,13829,70617
27,21864,37923
59,46179,12481
59,42395,85969
43,33303,93243
41,78087,51472
50,2844,35221
25,74922,83050
27,32749,36467
38,96241,76278
14,75527,83209
55,7329,52129
28,97999,35197
25,39948,75750
27,6621,45054
31,11807,60238
30,62371,59836
44,56949,17290
15,85491,85798
18,42390,87098
19,24967,40043
24,80769,92235
34,26173,10215
54,19356,89126
19,58990,45032
55,71932,62613
23,76415,95782
14,80997,39223
36,86520,17451
36,66655,1110
31,24434,94690
44,43721,89989
39,39626,18351
36,72737,46076
13,50096,32477
23,40944,78774
36,89659,90502
34,19025,79551
59,15517,38737
47,53903,14777
54,24215,9307
11,30432,17299
58,79260,71612
46,21467,2187
34,97303,28277
40,80879,37550
10,5482,52727
32,68843,20012
29,32207,67017
58,6461,51213
34,55372,57342
36,94718,56948
44,23445,7212
57,90664,92785
57,92566,45443
44,20958,33980
48,19672,35227
24,37851,56272
41,1600,93365
24,77183,66949
27,32075,21873
37,45746,13487
41,54651,66692
11,23254,6026
34,48309,23456
31,61710,97080
52,91203,54559
53,37642,48864
35,80516,23507
56,30503,9034
20,96661,42899
39,73454,48354
18,40340,39834
49,94948,77554
44,62797,99677
11,43923,3133
35,88892,90893
47,8678,86154
46,21753,69443
52,93040,18661
11,39666,68125
15,12137,11128
51,44579,83521
37,88698,8163
18,15182,34208
39,68233,42762
21,42058,9789
13,20643,76638
26,35527,58925
34,80381,70244
30,6613,60731
23,77693,89922
39,25971,42964
30,74421,46627
31,84465,39169
58,33823,59270
34,3966,60560
27,45693,8083
58,42712,48790
36,31270,9828
26,90971,58121
15,90981,16059
40,14984,75220
11,9123,50165
57,8058,24530
44,69632,4541
13,39286,84840
32,76379,62787
24,48394,17987
51,14378,68919
14,41697,50134
59,62242,63527
51,16455,50905
12,57243,78265
58,91146,36822
11,50425,76544
25,93340,86096
22,92390,96607
11,60940,50911
49,87650,77662
19,61455,92202
25,4630,73807
18,82483,23010
40,81830,30490
52,33036,62650
17,77564,17103
46,23699,7806
23,65004,18566
39,83568,44113
54,21967,95990
26,30626,22833
59,1554,29260
33,5376,96206
20,35728,235
48,88511,23865
48,41060,28953
57,89849,43406
55,12050,22005
17,15725,34761
59,24217,45938
20,55965,6310
29,50174,21802
16,9096,71568
47,18857,75766
11,4569,4379
29,85572,13726
46,51292,21090
53,9188,77860
34,43704,56534
35,10545,7019
55,50353,53645
22,47089,36899
14,25309,51498
47,84332,7144
54,44470,38607
50,87466,3373
25,4833,10739
16,31808,52096
54,59793,11945
59,77984,49996
29,88918,34510
53,5975,35200
48,91264,91287
17,82863,70968
60,23516,7993
46,18754,90055
60,90659,39171
12,39478,65811
32,81123,88805
44,36231,58856
37,65210,25260
52,56973,89538
33,70432,77994
14,58303,8783
42,14435,72358
51,9637,1620
31,23338,54997
10,44025,74264
36,60106,13845
41,80154,45071
16,28369,63646
37,56917,22570
33,5796,79777
50,12844,90507
39,17394,35203
55,92183,39722
19,92161,89764
37,90538,97481
21,71098,54627
56,67467,27707
43,5357,49009
51,43899,8600
27,92123,68719
49,89158,26309
44,16083,6626
59,60014,60846
40,21596,89282
39,82218,77862
37,84500,45843
56,84498,90289
47,60031,6507
27,48745,29012
30,81085,53674
25,31182,89417
15,73726,22701
27,69945,79736
38,60036,45706
25,98849,39602
58,44392,13410
39,3250,73591
46,79711,89707
49,2955,36239
52,41649,93204
34,93842,31496
31,58402,41888
11,37831,38745
41,76962,96564
30,77421,24892
21,22923,83665
41,72596,22280
23,96974,61706
32,83435,73273
26,15644,29131
31,74130,55112
27,67177,38541
48,60429,83151
54,46659,25499
27,12387,69446
45,91483,18004
10,36885,59974
43,20257,10592
22,17200,41079
15,68566,27444
25,90995,64169
56,90546,83032
36,25736,50242
41,8683,95768
45,77018,69603
58,45591,82141
25,1832,40906
54,12934,77158
40,57627,39085
51,29825,78167
55,64987,17536
41,37173,24697
38,56093,29402
60,1675,77292
11,11141,93206
15,8481,70088
28,30522,86765
24,99130,15176
35,53011,71733
54,64138,26934
25,65291,13235
29,39682,91845
52,61082,94210
47,70848,13928
33,50283,34471
40,72963,53707
45,50997,65058
43,75000,358
32,77469,87690
37,3689,67070
57,44729,30298
45,30752,6564
31,2583,47214
32,2674,12451
54,12809,84829
39,44504,81501
27,70232,23969
29,97371,35629
26,69607,85045
24,56742,95212
17,59405,77430
56,75608,23758
22,80533,80131
30,31506,14802
17,83090,34290
57,53197,68788
44,63620,44341
58,33868,81033
54,63680,32581
21,53347,84070
22,30938,7152
23,33004,64990
57,96631,42026
40,22957,66444
27,64272,52858
56,32289,75108
47,2762,41426
58,90529,2329
43,15997,73024
48,39438,79194
28,57520,27112
16,64447,29218
22,34205,81232
28,84094,47617
24,41120,86364
33,17051,83055
21,90107,92025
29,51576,18408
10,84817,25679
55,22119,59905
44,15381,54325
18,29423,59048
27,56532,65382
12,53546,56729
13,76402,23226
45,52108,13573
28,12488,66074
54,87921,99925
18,39650,38557
50,23510,78974
58,93094,41144
41,36831,81810
16,67760,93113
10,86169,83476
46,61636,73699
28,57870,93077
40,19405,1673
40,73825,19048
38,10070,98328
31,89212,19192
21,60323,70932
13,86246,80754
26,74600,73566
40,78943,91242
17,11690,54600
14,98639,97474
35,79103,58073
41,62447,71645
14,24426,25362
46,29390,9760
50,11006,15643
53,39375,72954
13,67294,33425
19,46590,20290
19,23882,6665
46,76966,75061
29,24535,92757
15,766,68236
25,97549,71182
17,16395,28992
45,27424,38479
58,25023,73575
36,19978,58414
48,31801,5226
48,82629,50577
60,78097,3238
49,94976,66680
24,2492,85397
59,15327,12577
43,37750,82173
34,89780,27941
38,93242,92109
38,37022,20152
29,79396,4965
47,6166,33018
37,4190,33901
29,63748,53011
46,90457,88250
49,59917,94409
13,73724,76756
49,95466,13911
57,84815,57367
16,863,62126
58,48815,97878
23,29908,18884
50,47418,72754
23,11112,75067
26,86530,11157
52,68128,95150
15,36671,67181
20,71358,80856
25,53019,87946
21,94225,60458
45,68332,8829
14,33907,76099
20,7857,87988
10,75030,9149
36,93670,43036
38,75073,19974
54,47352,41462
48,8151,32266
40,52789,17603
28,83422,47020
12,18919,23038
24,69355,70597
28,48409,10022
55,5279,4088
28,3667,77337
54,28256,71233
39,54732,19481
14,62289,77280
53,99834,66900
24,50755,89674
26,36356,20869
60,40481,19162
60,99302,99807
50,15765,48422
47,75963,67880
52,44558,6086
22,71012,75842
37,88946,85678
17,12942,10202
44,31407,67681
24,15083,63191
51,83039,57658
19,72706,84341
27,26667,20625
19,72764,86652
14,85597,94405
13,49827,62786
20,21157,53857
60,72938,75168
29,89404,67193
48,44778,33850
57,62459,73872
46,64091,58877
28,58350,28752
38,23224,76368
17,58271,34671
39,80405,77410
54,4822,17329
29,51915,66107
54,96837,23255
35,16702,69655
27,25146,86427
42,84012,88940
44,89151,5693
41,55058,63192
38,3325,97175
15,21558,33360
48,77664,78419
12,7134,716
37,57478,68126
57,49465,90146
30,7181,20287
48,38655,70268
26,81789,36118
11,44514,73080
15,14156,72733
24,16512,45135
53,24369,98017
46,85420,21206
47,38150,44359
11,7157,92640
58,44767,693
53,74199,57065
27,5530,48606
46,31328,50374
12,24149,37548
58,18664,83924
58,37237,86099
21,25688,78579
40,85835,80634
43,86626,85854
51,18931,52354
38,41674,26255
27,24785,11818
21,16575,76406
47,86966,79477
37,49055,609
50,64853,13954
41,30721,44560
15,72161,75352
40,5392,63390
32,48170,89337
36,34815,15239
31,84365,28885
30,71568,67699
52,79171,32539
16,52928,98145
20,52101,62463
31,61438,35268
36,54747,26170
54,40051,30042
41,98648,20446
28,18236,86956
52,51234,70972
35,62230,41342
58,22468,66995
45,24470,75584
12,86451,55466
39,51262,45519
15,27063,91520
30,20811,1103
26,26437,13205
30,68925,71901
17,96638,80358
59,51260,55567
35,96107,48799
42,5723,23578
10,8748,29958
52,15889,72789
44,59105,96802
39,88555,23148
36,1407,67765
13,60470,39326
22,36587,52219
43,70078,33330
33,23322,43864
49,68534,73071
58,78407,15890
41,26212,75483
50,8280,46544
38,14114,96537
58,56083,37555
13,41450,44222
23,81777,9351
27,13344,41088
45,82689,79349
18,41676,47600
28,58839,21930
38,30488,30753
54,81233,52041
41,26789,71884
17,36454,68679
11,37808,20352
50,87163,32426
48,24057,17206
25,83147,86972
55,30973,35705
20,32102,70685
29,63068,82712
45,55403,83824
10,99867,70735
45,23029,47943
36,63025,1383
15,1682,45073
24,48908,90147
17,50439,56418
39,66795,946
17,32347,73472
51,79355,93708
19,15300,10382
41,67965,80375
55,65620,69722
28,98626,23908
42,18705,59682
55,64451,81625
27,96081,19942
36,65878,13405
40,99505,57464
40,83418,1930
25,3888,40838
39,87205,4159
45,79034,7345
19,56289,61623
34,52228,1653
22,91528,58059
48,36630,96380
42,62285,61974
57,2179,82465
18,52450,33202
14,50444,6827
27,66143,56906
59,61184,36188
60,27740,31862
36,21002,90538
31,33767,11728
60,95081,89908
42,84408,7871
27,57273,91924
10,97069,30497
28,49832,99181
56,55535,2798
29,13970,32859
47,65514,73272
47,40487,24874
52,28272,42425
41,20014,21016
19,63898,38754
38,55369,94
44,37098,2453
40,7094,31298
32,57918,50789
31,96379,72281
45,49355,53713
58,23544,86362
44,4455,4099
34,87914,12943
39,48145,86235
30,29482,77371
22,77709,79423
54,42628,64409
25,72883,7956
46,93552,48374
34,78525,5328
24,16884,68089
59,11090,69685
36,11,86098
12,64283,73193
30,12977,83705
57,17590,92084
40,72069,23644
55,88673,86184
34,91331,46179
34,49668,54046
52,71875,73812
60,19179,72120
51,13762,52047
19,45731,2136
41,98549,39365
12,1244,90402
18,6929,74798
42,92639,60341
47,56068,48114
31,53282,39361
16,21641,28499
38,88740,22662
16,69783,84181
43,55702,75534
39,89663,43829
10,29500,29716
56,64947,82862
19,15448,5397
36,39953,42838
51,7536,88294
19,24400,75399
14,67412,37982
40,32785,10819
60,14246,71847
26,56880,65774
31,51713,63035
49,87194,85491
54,93627,96425
35,17225,34898
51,89710,11743
15,62939,45653
31,67009,85905
53,87337,80769
44,24729,5882
34,35895,99317
30,6678,31856
50,66828,44993
55,93268,2981
58,97616,27770
41,33064,33902
44,43412,18526
12,50338,69048
49,24960,37226
14,39515,60943
25,25127,35561
50,8874,85119
53,37965,93020
28,69791,69672
24,51150,60029
57,91320,69391
15,33925,97568
37,69935,46125
16,35446,36159
58,183,72737
50,17512,51491
55,95745,68251
16,13951,75090
38,57958,43160
20,95195,85520
54,24251,26517
29,36968,68656
11,9103,86013
12,94936,73051
30,14422,19073
60,18695,39760
13,44353,24632
28,21383,99935
32,71252,74323
33,18590,30266
37,37597,62469
19,64463,93325
25,80700,62108
43,56181,4224
36,39526,29170
46,34786,57577
53,85964,59971
60,8822,5482
21,50465,51662
20,83440,68843
21,69962,59886
15,69067,51853
49,26644,82660
34,45789,52171
49,55191,55372
53,92269,67760
25,86867,11854
41,32118,76735
47,97459,42396
19,91127,77373
24,65967,42477
39,93245,92566
50,68354,92704
26,24077,49634
39,85550,22398
26,25523,21249
52,36989,6725
10,24607,58491
39,74029,26588
28,40449,1600
53,98545,753
44,97183,77183
20,76855,10407
14,12227,71741
38,21108,27215
32,47227,85626
47,31340,87424
29,12767,11495
50,59612,21146
37,11695,91730
54,57939,23254
26,37568,12206
39,41110,8869
29,81345,61710
22,13801,43150
34,60591,91203
40,11248,74890
16,43086,90263
25,36487,41482
34,74475,46380
46,56375,68118
32,55433,79876
46,39103,15493
28,24127,15456
54,21565,5962
28,91316,83558
11,26025,90441
52,97365,40340
35,65463,803
27,59055,94948
10,4782,25430
46,78766,62193
53,48530,82208
59,59768,54257
57,14860,95022
13,57131,27297
48,13005,46346
57,13588,44453
41,87518,79388
28,25632,98505
59,92253,35585
24,86334,48704
48,4282,39625
32,43920,4901
24,80775,3268
50,95435,44579
22,66093,42904
49,72470,17395
26,77763,93543
53,17111,5771
58,70178,6047
56,36040,97721
59,14540,40913
52,12160,37560
53,54230,57817
18,83040,35866
50,74356,67378
16,80478,72006
50,70248,37128
51,3866,40812
12,45685,6648
29,67194,6613
60,76499,55897
38,56815,77693
12,50206,43559
47,4424,61039
33,46170,91566
56,9521,89715
18,90215,18837
15,73615,24032
28,93882,3966
30,99116,62737
57,6133,45693
36,50181,13491
21,60525,85124
22,5127,52535
18,94798,31941
60,80258,8658
44,49008,56511
33,42317,71372
43,70458,10209
42,6291,78128
27,22326,9123
20,54171,49664
26,42193,8058
40,46269,98957
28,7899,59372
57,13701,58610
31,20184,39286
17,81327,45123
39,40258,66902
14,14444,48394
19,59328,73404
58,65823,30833
24,85016,41697
53,36166,71449
56,32629,24671
53,8630,20220
35,96196,9403
45,45564,57243
33,91812,54507
15,24555,23566
60,23267,58988
35,46156,55675
10,5921,95802
26,98958,71587
44,96313,74468
17,46219,63115
39,95448,68997
33,46818,68597
53,25407,82662
57,71423,40959
53,51252,1413
26,91991,75230
47,37802,38616
34,81762,78333
50,2043,82483
33,86540,6765
16,73498,63538
53,10579,36418
24,12863,36073
40,18242,79144
11,11219,86396
49,12588,34242
45,56055,69125
30,55170,78059
49,16682,50222
24,87828,21926
51,35412,7120
14,90517,60819
50,97048,97799
39,63564,92485
54,68134,69526
29,51211,58827
51,71659,5376
36,56669,56595
17,67045,35007
18,13109,51269
12,55683,77165
12,4467,23582
29,61329,8906
41,27627,13619
17,19844,37132
16,39705,81185
25,86372,28419
44,45625,11322
18,30369,84922
34,31013,24151
39,8116,9924
33,3861,90730
52,72937,9698
57,97275,23321
54,12609,79993
44,9432,14212
36,62093,28624
47,49298,33947
57,65367,74887
56,92179,19510
19,31640,34922
36,14532,485
51,34194,52941
16,43202,50387
41,79954,47044
49,78400,82873
36,5471,10545
27,29852,23149
12,89600,25035
54,56324,90287
33,46109,57407
23,29769,3324
38,32757,8256
38,45831,58891
25,16040,44265
33,28873,85701
16,35066,19523
53,81509,96398
33,97243,61763
44,85184,85037
51,77101,6548
32,64927,22372
13,24173,65161
35,98890,26560
27,44688,88918
22,14314,75493
17,75052,27948
39,31224,8286
15,44241,54415
52,16293,57496
23,57659,13102
51,7678,2048
50,36194,23516
48,85980,90898
11,76007,83863
13,33743,31359
60,45839,78154
31,74758,82207
25,18753,73100
18,38543,12541
60,3346,66524
46,45095,86419
23,10281,14769
14,71857,20940
58,79574,37363
45,38412,80847
23,31594,6875
47,66275,3809
23,30115,30841
24,88356,54927
31,10683,14435
59,23581,96698
19,61585,9637
60,9570,57129
48,52732,23338
10,80822,94348
27,53592,44025
19,17643,7818
18,48480,60106
44,12700,28816
26,66614,83623
21,96288,30107
17,41204,28369
52,22193,1901
11,12579,56917
18,70505,75196
10,55902,61689
32,92579,51684
60,36497,31524
60,20542,90853
25,56803,38769
47,82219,87691
30,25647,74760
11,83200,18169
21,80113,82157
26,82709,50446
13,30394,55823
18,46809,27151
57,54997,7184
36,86587,50194
43,78781,47916
17,73696,92389
57,34170,26832
14,58672,14884
40,80386,98719
38,11829,66003
59,6450,48865
33,94086,69033
42,32598,88907
47,52158,48253
16,35711,10508
38,35389,21596
42,79281,65054
24,42431,2974
49,85989,17305
12,36511,96693
56,51595,2888
60,52081,53961
52,43572,42769
43,77779,69489
29,7724,74350
39,90308,34079
51,64058,6202
11,72719,21805
13,49241,37387
40,5119,87340
35,52350,5393
37,80622,34132
53,93647,92685
16,94388,48878
41,41640,39526
55,24598,19055
38,61432,96796
14,35989,92464
15,81854,75199
30,36698,44392
48,43274,88867
19,22033,52642
14,18786,12121
18,57630,25578
27,51543,36428
49,69558,58387
50,93237,64286
47,89832,7346
45,45349,56051
55,1398,37309
30,48348,73535
34,84105,97193
48,94113,95420
43,84875,11282
28,20079,68852
39,7346,49253
42,85865,35825
48,48005,93093
37,8513,50039
16,5833,39582
60,40784,96974
54,11555,320
17,22195,83435
51,84189,37707
51,23331,84513
59,26112,36335
45,75850,47416
56,4814,33804
23,56866,96070
37,35251,76238
38,67768,90869
24,49533,35739
36,55234,6385
31,61189,10069
39,75492,24018
35,48918,71265
36,14136,39462
56,21808,76027
16,17025,67917
30,45364,54000
37,39489,20257
30,89746,73224
52,72067,72235
26,31816,15278
33,42875,90577
19,45464,68566
53,48382,3769
40,84617,18659
14,50340,17067
15,55277,14643
15,96032,99265
15,50330,4298
37,55703,15587
16,93326,87501
57,99563,78878
57,77352,87896
33,5222,97805
18,55797,21044
45,54664,74741
